time/episodes,train/learning_rate,rollout/success rate,time/total timesteps,train/actor_loss,train/n_updates,train/critic_loss,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed
156,0.001,0.26,703941,128.99190490722657,703800,21.567584161758422,20,-4700.02126919,4367.44,34355
157,0.001,0.26,708941,130.61517517089842,708800,5.6489864611625675,20,-4728.5598931899995,4367.44,34599
158,0.001,0.25,713941,131.56896926879884,713800,7.337269552946091,20,-4832.324723690001,4397.82,34841
159,0.001,0.26,716871,127.67661376953124,716700,15.67194936156273,20,-4755.90450207,4377.12,34980
160,0.001,0.26,721871,132.57382003784178,721700,9.275422258377075,20,-4708.552537289999,4377.12,35224
161,0.001,0.27,726484,130.88441116333007,726300,9.470541658401489,20,-4733.1444294699995,4373.25,35452
162,0.001,0.28,729662,132.94645706176757,729500,2.877088885307312,20,-4666.413573619999,4355.03,35603
163,0.001,0.28,734662,132.08274169921876,734500,8.343560381531715,20,-4657.927994219999,4355.03,35846
164,0.001,0.28,739662,130.36946395874023,739500,10.492411623001098,20,-4654.18647769,4355.03,36088
165,0.001,0.28,744662,130.15943939208984,744500,14.564432348012923,20,-4679.131774830001,4355.03,36332
166,0.001,0.28,749662,134.1871159362793,749500,8.40325610280037,20,-4699.25104525,4355.03,36576
167,0.001,0.29,750516,132.67122344970704,750400,17.379782114624977,20,-4619.58413993,4313.57,36623
168,0.001,0.29,755183,132.32244659423827,755000,29.317155488729476,20,-4622.37066803,4342.84,36843
169,0.001,0.3,755893,130.7216082763672,755700,16.091909409761428,20,-4534.85297015,4299.94,36882
170,0.001,0.3,760893,129.70626022338868,760700,2.581502293944359,20,-4542.93549764,4299.94,37124
171,0.001,0.3,765893,128.82201721191407,765700,6.80881739616394,20,-4537.22469709,4299.94,37368
172,0.001,0.3,770893,131.4743438720703,770700,8.681151829957962,20,-4625.36613726,4299.94,37611
173,0.001,0.3,775893,133.7600567626953,775700,11.116937111616135,20,-4639.740365759999,4299.94,37854
174,0.001,0.3,780893,129.10660140991212,780700,7.7289485681056975,20,-4633.29864994,4299.94,38101
175,0.001,0.29,785893,130.80590148925782,785700,4.981567642688751,20,-4648.92685495,4312.62,38344
176,0.001,0.3,790775,130.97139053344728,790600,6.305879333019257,20,-4660.98816426,4311.44,38584
177,0.001,0.31,793978,130.94265991210938,793800,10.742242187261581,20,-4548.61298995,4293.47,38735
178,0.001,0.3,798978,130.96532302856446,798800,10.359879233837127,20,-4586.181947,4321.37,38977
179,0.001,0.31,800554,127.94007553100586,800400,25.725579562187196,20,-4540.312626909999,4287.13,39052
180,0.001,0.32,804660,130.05266494750975,804500,10.335491429567337,20,-4508.60679085,4278.19,39261
181,0.001,0.33,805808,129.58245864868164,805700,38.909173666238786,20,-4437.60660546,4239.67,39314
182,0.001,0.34,808464,131.98073348999023,808300,5.9796677142381665,20,-4391.085761310001,4216.23,39447
183,0.001,0.34,813464,128.5196435546875,813300,12.108651140332222,20,-4347.98430571,4216.23,39692
184,0.001,0.35,817030,129.93346298217773,816900,8.5048737180233,20,-4299.24842818,4201.89,39859
185,0.001,0.35,822030,128.29287673950196,821900,4.791838264465332,20,-4342.83957756,4201.89,40102
186,,0.36,822087,,,,20,-4331.14173266,4152.46,40106
187,0.001,0.37,824165,127.13160064697266,824000,6.85454748749733,20,-4294.74577005,4123.24,40207
188,0.001,0.37,829165,129.69592971801757,829000,16.15133907198906,20,-4222.05451602,4123.24,40451
189,0.001,0.37,834165,129.79406127929687,834000,2.743800678253174,20,-4173.020328809999,4123.24,40694
190,0.001,0.37,835899,127.34723510742188,835700,28.510520929098128,20,-4183.624796,4128.06,40776
191,0.001,0.37,840899,128.8098942565918,840700,4.664943588972092,20,-4178.679789739999,4128.06,41019
192,0.001,0.38,842150,127.6946321105957,842000,8.043847204446793,20,-4134.70428606,4090.57,41081
193,0.001,0.37,847150,128.6917741394043,847000,4.601181826591492,20,-4154.50989537,4114.16,41326
194,0.001,0.38,847549,126.25259490966796,847400,8.690635857582093,20,-4079.2651799599994,4068.15,41353
195,0.001,0.39,849786,127.60047988891601,849600,6.969783316850663,20,-4051.25560039,4040.52,41456
196,0.001,0.39,854786,127.48257995605469,854600,17.15771458029747,20,-4120.1851857,4040.52,41702
197,0.001,0.4,859081,125.8379817199707,858900,7.0579066157341,20,-4105.7292805199995,4033.47,41916
198,0.001,0.4,864081,125.71386383056641,863900,3.705260747075081,20,-4092.50941443,4033.47,42158
199,0.001,0.4,869081,127.5937239074707,868900,24.37164407491684,20,-4014.0247175000004,4033.47,42404
200,0.001,0.4,874081,126.2990951538086,873900,3.759622424840927,20,-4001.54774222,4033.47,42648
201,0.001,0.41,876806,127.58219528198242,876700,13.660015189647675,20,-4004.0346776400006,4010.72,42780
202,0.001,0.42,880855,125.38031768798828,880700,14.33453124165535,20,-3950.6266391500003,4001.21,42976
203,0.001,0.41,885855,125.84966125488282,885700,7.666445039510727,20,-3932.4266419499995,4005.31,43219
204,0.001,0.41,890855,128.5220425415039,890700,16.31651090025902,20,-3975.630579179999,4005.31,43463
205,0.001,0.41,893864,123.37639678955078,893700,8.708712205290794,20,-3967.6754342899994,3996.85,43614
206,0.001,0.41,898864,125.57609909057618,898700,2.8485325974226,20,-3990.94342191,3996.85,43861
207,0.001,0.41,903715,124.69221954345703,903600,7.985233927965164,20,-4006.8614505699998,4031.16,44095
208,0.001,0.42,906337,125.09243637084961,906200,6.471168449521064,20,-3997.75535984,4007.38,44224
209,0.001,0.41,911337,126.0033219909668,911200,7.510259902477264,20,-4012.67636585,4023.58,44467
210,0.001,0.41,916337,124.96832046508788,916200,3.536467663049698,20,-3988.134206519999,4023.58,44712
