time/time_elapsed,train/actor_loss,time/fps,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/total timesteps,rollout/success rate,train/n_updates,time/episodes,train/critic_loss
10402,178.18834411621094,20,0.001,658.12,-1948.4201631300002,210229,0.99,210100,169,250.21091957092284
10438,179.4007098388672,20,0.001,657.14,-1945.7548364900003,210907,0.99,210800,170,441.23396137237546
10478,178.8380111694336,20,0.001,659.08,-1953.9599367600001,211784,0.99,211600,171,380.75349826812743
10517,175.4575048828125,20,0.001,662.28,-1983.2331119100002,212486,0.99,212300,172,296.9242295837402
10541,175.80403381347656,20,0.001,661.55,-1996.13514166,213062,0.99,212900,173,471.9419105529785
10558,175.3340512084961,20,0.001,658.65,-1990.3576945400002,213322,0.99,213200,174,331.122161026001
10569,175.26103424072267,20,0.001,610.3,-1909.2945430600003,213487,1.0,213300,175,178.86129413604738
10580,177.9847317504883,20,0.001,609.26,-1887.41040206,213732,1.0,213600,176,252.25225410461425
10599,183.52132843017577,20,0.001,601.73,-1907.0688659,214200,1.0,214000,177,248.1464402770996
10643,176.9495477294922,20,0.001,599.46,-1916.79144325,215034,1.0,214900,178,198.7623738861084
10698,181.7901223754883,20,0.001,606.57,-1933.71586147,216090,1.0,215900,179,505.65159259796144
10721,172.18871154785157,20,0.001,605.77,-1955.2845532399995,216640,1.0,216500,180,294.9313983154297
10741,175.9226446533203,20,0.001,604.5,-1958.0322609899997,216995,1.0,216800,181,281.4992217254639
10765,175.23564910888672,20,0.001,605.93,-1968.45234289,217451,1.0,217300,182,278.9405134582519
10795,173.57676910400392,20,0.001,604.77,-1956.5852178799998,218130,1.0,218000,183,219.245659866333
10825,172.94892517089843,20,0.001,598.99,-1956.74640961,218639,1.0,218500,184,222.35367694854736
10903,170.7395147705078,20,0.001,606.09,-1963.24536268,220278,1.0,220100,185,258.96861793518065
10910,172.70226501464845,20,0.001,602.22,-1948.1904864399999,220461,1.0,220300,186,251.25309059143066
10942,172.2146044921875,20,0.001,601.28,-1949.95237013,220981,1.0,220800,187,290.9252391433716
