train/n_updates,rollout/success rate,train/learning_rate,time/episodes,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total timesteps,train/critic_loss,time/fps
464280,0.0,0.001,4644,96.52214736938477,-103.74977289,16683,100.0,464400,209.62268261909486,27
464680,0.0,0.001,4648,95.87312240600586,-104.12175305000001,16785,100.0,464800,286.7509605407715,27
465080,0.0,0.001,4652,96.48979721069335,-101.95047319000001,16892,100.0,465200,176.1683759689331,27
465480,0.0,0.001,4656,97.00704193115234,-103.02959733000002,16965,100.0,465600,147.61990642547607,27
465880,0.0,0.001,4660,96.40372085571289,-101.24290724999999,17080,100.0,466000,163.14604167938234,27
466280,0.0,0.001,4664,96.23323364257813,-100.76014861000002,17176,100.0,466400,241.39701347351075,27
466680,0.0,0.001,4668,96.49294357299804,-99.92087169,17266,100.0,466800,193.50565943717956,27
467080,0.0,0.001,4672,95.77784805297851,-100.69215937999998,17387,100.0,467200,148.67733416557311,26
467480,0.0,0.001,4676,95.30780715942383,-102.41344880999999,17494,100.0,467600,193.47654042243957,26
467880,0.0,0.001,4680,96.59618225097657,-103.36194681,17602,100.0,468000,182.58669276237487,26
468280,0.0,0.001,4684,96.08992919921874,-101.04042141999999,17710,100.0,468400,225.70398879051208,26
468680,0.0,0.001,4688,95.75388793945312,-100.76773166999997,17809,100.0,468800,196.86312255859374,26
469080,0.0,0.001,4692,95.61794357299804,-101.30802605,17912,100.0,469200,230.53445110321044,26
469480,0.0,0.001,4696,95.75960006713868,-99.19746994,18015,100.0,469600,149.5041250705719,26
469880,0.0,0.001,4700,96.15151748657226,-98.31121993999999,18120,100.0,470000,206.54934458732606,25
470280,0.0,0.001,4704,95.5360595703125,-96.31164465000002,18234,100.0,470400,236.78172106742858,25
470680,0.0,0.001,4708,96.06850357055664,-96.30334297000002,18319,100.0,470800,167.71123399734498,25
471080,0.0,0.001,4712,95.37231903076172,-95.84449226000002,18440,100.0,471200,118.8805676460266,25
471480,0.0,0.001,4716,95.90652008056641,-94.98149482000002,18542,100.0,471600,214.874356842041,25
471880,0.0,0.001,4720,96.50618591308594,-97.28806679000003,18628,100.0,472000,170.90812633037567,25
472280,0.0,0.001,4724,95.9024528503418,-97.91577081999999,18732,100.0,472400,226.1736044883728,25
472680,0.0,0.001,4728,95.57451782226562,-98.54035744999997,18834,100.0,472800,270.8001350402832,25
473080,0.0,0.001,4732,95.69223251342774,-99.00741791000002,18932,100.0,473200,168.82874550819398,24
473480,0.0,0.001,4736,95.97255020141601,-97.50544197,19024,100.0,473600,162.7813944339752,24
473880,0.0,0.001,4740,95.44522171020508,-95.36654692999998,19135,100.0,474000,149.01721091270446,24
474280,0.0,0.001,4744,95.19537887573242,-96.61948632,19214,100.0,474400,215.02687268257142,24
474680,0.0,0.001,4748,95.49265213012696,-95.90743804000002,19309,100.0,474800,117.32238898277282,24
475080,0.0,0.001,4752,94.99721908569336,-97.06822972999998,19439,100.0,475200,174.70853576660156,24
475480,0.0,0.001,4756,95.2160530090332,-96.69794482000002,19534,100.0,475600,100.54482638835907,24
475880,0.0,0.001,4760,94.94025115966797,-97.09657387000003,19657,100.0,476000,212.95413131713866,24
476280,0.0,0.001,4764,94.95586700439453,-95.88529689,19785,100.0,476400,184.1936553478241,24
476680,0.0,0.001,4768,95.39043960571288,-94.49998053000002,19903,100.0,476800,162.35338912010192,23
477080,0.0,0.001,4772,95.92360076904296,-93.84571308000001,20017,100.0,477200,117.78470911979676,23
477480,0.0,0.001,4776,95.24553604125977,-91.85504481,20121,100.0,477600,168.753010225296,23
477880,0.0,0.001,4780,95.31448745727539,-91.07740111000001,20247,100.0,478000,182.69816641807557,23
478280,0.0,0.001,4784,94.74506912231445,-89.82858413999999,20380,100.0,478400,205.2757579088211,23
478680,0.0,0.001,4788,94.84878692626953,-91.75164552000003,20476,100.0,478800,196.40211749076843,23
479080,0.0,0.001,4792,94.87460556030274,-90.42578399999998,20604,100.0,479200,176.0905400276184,23
479480,0.0,0.001,4796,94.2026382446289,-89.92531997,20725,100.0,479600,203.2657534122467,23
479880,0.0,0.001,4800,94.14715270996093,-90.01036272000002,20816,100.0,480000,183.76442477703094,23
480280,0.0,0.001,4804,94.55474243164062,-88.71928326999999,20916,100.0,480400,167.29544548988343,22
480680,0.0,0.001,4808,94.2646369934082,-86.62792819999999,21025,100.0,480800,191.93366394042968,22
481080,0.0,0.001,4812,94.0922721862793,-85.51858785999998,21159,100.0,481200,189.32496404647827,22
481480,0.0,0.001,4816,93.85141525268554,-85.49887038000001,21278,100.0,481600,163.84557390213013,22
481880,0.0,0.001,4820,93.3532585144043,-83.64169516,21377,100.0,482000,234.99556875228882,22
482280,0.0,0.001,4824,93.84087905883788,-83.21976634,21474,100.0,482400,190.39830203056334,22
482680,0.0,0.001,4828,93.91811676025391,-83.10830511,21575,100.0,482800,142.27198612689972,22
483080,0.0,0.001,4832,93.30482864379883,-81.30196803,21700,100.0,483200,208.97422513961791,22
483480,0.0,0.001,4836,92.88144378662109,-82.14060418000001,21801,100.0,483600,221.26208941936494,22
483880,0.0,0.001,4840,93.38680419921874,-82.64003535,21899,100.0,484000,117.88748784065247,22
484280,0.0,0.001,4844,93.58243789672852,-82.53277568,21983,100.0,484400,181.53719620704652,22
484680,0.0,0.001,4848,92.9977798461914,-81.7179551,22100,100.0,484800,199.68755402565003,21
485080,0.0,0.001,4852,93.10277938842773,-80.15521618,22224,100.0,485200,177.10713090896607,21
485480,0.0,0.001,4856,93.25911560058594,-79.97642437,22317,100.0,485600,167.75085916519166,21
485880,0.0,0.001,4860,92.82038650512695,-78.13383082,22433,100.0,486000,184.1661005973816,21
486280,0.0,0.001,4864,92.70554122924804,-77.06852108999999,22574,100.0,486400,202.80339846611022,21
486680,0.0,0.001,4868,92.95674438476563,-76.61252867999998,22722,100.0,486800,191.51985363960267,21
487080,0.0,0.001,4872,93.02233505249023,-76.14865791,22846,100.0,487200,177.64573402404784,21
487480,0.0,0.001,4876,92.85370788574218,-78.22821427,22935,100.0,487600,156.3986526966095,21
487880,0.0,0.001,4880,92.22918167114258,-77.65051174999999,23043,100.0,488000,212.61480073928834,21
488280,0.0,0.001,4884,91.98742370605468,-77.97157864,23142,100.0,488400,200.0971800804138,21
488680,0.0,0.001,4888,92.0806381225586,-76.68385742000001,23253,100.0,488800,154.39056706428528,21
489080,0.0,0.001,4892,92.06012954711915,-77.82258983000001,23394,100.0,489200,256.0807322502136,20
489480,0.0,0.001,4896,92.46489105224609,-76.81549977,23524,100.0,489600,130.66960835456848,20
