time/time_elapsed,train/actor_loss,train/learning_rate,time/fps,rollout/success rate,train/n_updates,train/critic_loss,time/total timesteps,train/ent_coef_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/ent_coef,train/std
13845,114.04677642822266,0.0003,61,0.24242424242424243,846800,0.604411291591823,846901,0.34744813524186613,-14683.355920909093,12831.833333333334,66,0.01800410697236657,0.06164288893342018
13895,113.30739891052247,0.0003,61,0.2537313432835821,849800,0.04298516120761633,849951,-0.27155827343463895,-14471.528862149255,12685.835820895523,67,0.017577848192304374,0.06149908900260925
13963,112.91293640136719,0.0003,61,0.2647058823529412,853900,0.482107449285686,854071,0.19836684107780456,-14268.872333838237,12559.867647058823,68,0.01930544674396515,0.06146073341369629
14103,113.90998550415038,0.0003,61,0.2753623188405797,862400,0.5863518826104701,862594,0.0795507349818945,-14200.556801507248,12501.36231884058,69,0.01651536436751485,0.06182056665420532
14227,113.62311363220215,0.0003,61,0.2857142857142857,870000,0.40974880758672955,870185,-0.39193082205951213,-14059.230271957145,12431.214285714286,70,0.015871498025953768,0.062055278569459915
14380,112.73998573303223,0.0003,61,0.29577464788732394,879300,2.454603747539222,879495,0.3990298409759998,-13932.9810521831,12387.25352112676,71,0.013958203252404927,0.061604633927345276
14623,111.78589561462402,0.0003,61,0.3055555555555556,894100,0.29121655981987715,894279,-0.1488032515347004,-13888.879082125,12420.541666666666,72,0.010852923905476928,0.06088261306285858
14662,110.92427932739258,0.0003,61,0.3150684931506849,896500,2.6681163460575044,896641,0.33253468349576,-13723.89480860274,12282.753424657534,73,0.011857896819710731,0.0605870820581913
14705,111.36322952270508,0.0003,61,0.32432432432432434,899100,2.15898285061121,899255,-0.43641811586916446,-13573.006627364864,12152.094594594595,74,0.010762436138466001,0.0602027028799057
14732,111.45126159667969,0.0003,61,0.3333333333333333,900700,0.855996787585318,900884,0.2162647293508053,-13402.066518733332,12011.786666666667,75,0.009853395577520132,0.05998150631785393
