train/actor_loss,time/episodes,train/critic_loss,rollout/ep_len_mean,time/total timesteps,train/learning_rate,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/success rate,train/n_updates
372.5730407714844,7820,6599.009613037109,21.45,408664,0.001,3074,-27.550630870000006,132,0.93,408560
375.0088287353516,7824,5093.456216430664,21.19,408688,0.001,3095,-27.652257340000002,132,0.93,408580
374.337548828125,7828,5690.572650146484,21.21,408722,0.001,3112,-27.486660569999998,131,0.93,408620
372.37738647460935,7832,7345.560864257813,21.02,408758,0.001,3125,-27.31711567,130,0.93,408640
369.62909240722655,7836,6931.2891296386715,20.55,408803,0.001,3144,-25.346387460000003,129,0.93,408700
377.00144958496094,7840,6014.68480834961,20.59,408922,0.001,3192,-25.896416709999997,128,0.93,408820
372.0117523193359,7844,6048.616961669922,20.67,409043,0.001,3225,-23.769340140000004,126,0.92,408940
371.27235412597656,7848,7409.248400878906,20.04,409086,0.001,3243,-20.8760594,126,0.92,408980
373.1039672851563,7852,4796.147270202637,18.91,409117,0.001,3269,-15.92160958,125,0.93,409000
378.36574096679686,7856,4553.918222045899,18.85,409138,0.001,3284,-16.05852688,124,0.93,409020
377.9199523925781,7860,4653.452828979493,19.81,409274,0.001,3327,-17.70768681,122,0.93,409160
381.05091857910156,7864,6351.147476196289,20.42,409396,0.001,3388,-17.78484961,120,0.92,409280
380.61521606445314,7868,4885.309155273438,21.38,409616,0.001,3440,-15.169268669999997,119,0.91,409500
379.27524719238284,7872,6105.953857421875,21.28,409667,0.001,3467,-14.411829619999999,118,0.91,409560
373.96954650878905,7876,8371.746136474609,20.69,409705,0.001,3485,-14.405231729999999,117,0.91,409600
373.21144714355466,7880,4990.144055175781,20.66,409743,0.001,3506,-14.402145649999996,116,0.91,409640
375.7260986328125,7884,6209.997280883789,21.67,409875,0.001,3555,-17.70286249,115,0.9,409760
377.6896026611328,7888,4997.676599121094,21.76,409915,0.001,3572,-17.5126431,114,0.9,409800
375.53221435546874,7892,5230.928161621094,21.29,409945,0.001,3587,-16.3387341,114,0.9,409840
373.1388336181641,7896,6687.366735839843,20.06,409974,0.001,3596,-14.438260710000002,113,0.91,409860
376.708642578125,7900,5942.275183105468,20.07,410095,0.001,3629,-14.055896539999997,112,0.91,409980
371.74432067871095,7904,5595.506353759765,19.55,410181,0.001,3663,-13.66767497,111,0.92,410080
367.578515625,7908,6760.108346557618,19.88,410345,0.001,3700,-13.929571330000002,110,0.92,410240
378.50160522460936,7912,4913.379998779297,19.81,410468,0.001,3745,-11.05744293,109,0.92,410360
374.56036376953125,7916,6386.361767578125,21.08,410687,0.001,3800,-16.238812590000002,108,0.9,410580
376.09715881347654,7920,5919.3653015136715,22.35,410899,0.001,3857,-19.326650719999996,106,0.88,410780
373.4459655761719,7924,6542.605444335937,22.42,410930,0.001,3868,-18.92084936,106,0.88,410820
376.73504638671875,7928,5784.79065246582,23.26,411048,0.001,3910,-21.808321859999996,105,0.88,410940
375.45514221191405,7932,5732.7009002685545,23.36,411094,0.001,3934,-22.37612394,104,0.88,410980
373.3435882568359,7936,6144.438824462891,23.18,411121,0.001,3946,-22.00076068,104,0.88,411020
371.5869110107422,7940,5628.471887207032,24.37,411359,0.001,4005,-23.01970953,102,0.86,411240
376.9469848632813,7944,4358.737353515625,23.71,411414,0.001,4029,-23.360743919999994,102,0.87,411300
376.0965515136719,7948,5877.986975097656,24.77,411563,0.001,4064,-27.88488899,101,0.86,411460
378.31260375976564,7952,5025.530172729492,25.12,411629,0.001,4087,-27.968953619999997,100,0.86,411520
379.93700256347654,7956,4657.800228881836,25.43,411681,0.001,4100,-29.566830420000002,100,0.86,411580
380.3521667480469,7960,5846.879766845703,25.51,411825,0.001,4148,-28.516246640000006,99,0.85,411720
372.2923583984375,7964,7027.677505493164,26.44,412040,0.001,4199,-33.81391475,98,0.84,411920
376.88686218261716,7968,5840.20185546875,24.65,412081,0.001,4213,-33.156404980000005,97,0.86,411980
376.04185791015624,7972,5666.469534301757,24.84,412151,0.001,4236,-33.34242643,97,0.86,412040
378.7525634765625,7976,6969.742962646485,24.86,412191,0.001,4249,-33.40770583,96,0.86,412080
