time/time_elapsed,train/critic_loss,train/std,train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss,rollout/success rate,time/episodes,time/fps,train/learning_rate,time/total timesteps,train/ent_coef,rollout/ep_len_mean,train/n_updates
9419,39.94443893432617,0.0501779280602932,72.61219787597656,-287.54337307000003,-7.535316467285156,0.06,1276,13,0.0003,125442,0.16622833907604218,96.94,6267
9577,22.413455963134766,0.050176333636045456,73.10456848144531,-280.80686428999996,-11.466812133789062,0.06,1280,13,0.0003,125842,0.16545598208904266,96.94,6287
9764,44.72826385498047,0.05017520487308502,72.8060302734375,-278.71152344999996,-8.315308570861816,0.06,1284,12,0.0003,126242,0.16467337310314178,96.94,6307
9935,38.75713348388672,0.050176143646240234,72.9568862915039,-272.57811724,-9.96133804321289,0.05,1288,12,0.0003,126642,0.16391803324222565,97.2,6327
10073,47.95683288574219,0.0501735620200634,73.80540466308594,-272.75342948,-6.660579681396484,0.05,1292,12,0.0003,127042,0.16314619779586792,97.2,6347
10220,45.32317352294922,0.05017511174082756,73.92686462402344,-265.80900148999996,-12.555456161499023,0.05,1296,12,0.0003,127442,0.1624232828617096,97.2,6367
10384,61.45705795288086,0.05017419904470444,73.3563003540039,-264.34260109999997,-9.670446395874023,0.03,1300,12,0.0003,127842,0.16164089739322662,97.58,6387
10523,24.56231117248535,0.05017424374818802,73.98110961914062,-258.34775741999994,-9.116137504577637,0.04,1304,12,0.0003,128232,0.16093643009662628,97.48,6406
10695,24.790607452392578,0.050175875425338745,73.85285949707031,-252.45744538,-7.0173797607421875,0.04,1308,12,0.0003,128632,0.16019000113010406,97.48,6426
10851,65.45428466796875,0.05018066614866257,73.8895263671875,-248.90541682999995,-11.017650604248047,0.04,1312,11,0.0003,129032,0.1594678908586502,97.48,6446
11041,5.124217987060547,0.05018056184053421,73.44049072265625,-252.59051254,-10.612996101379395,0.04,1316,11,0.0003,129432,0.15874333679676056,97.48,6466
11215,40.922035217285156,0.050179850310087204,73.49203491210938,-254.33561446999994,-8.24736213684082,0.04,1320,11,0.0003,129832,0.15799777209758759,97.48,6486
11403,42.145973205566406,0.05018092691898346,73.94087982177734,-260.02210671999995,-8.412945747375488,0.04,1324,11,0.0003,130232,0.15724417567253113,97.48,6506
11574,84.60269165039062,0.05017823725938797,74.06097412109375,-255.91106041999996,-11.767102241516113,0.04,1328,11,0.0003,130632,0.1564851850271225,97.48,6526
11728,25.188528060913086,0.050175558775663376,73.66152954101562,-261.94924599,-11.386192321777344,0.04,1332,11,0.0003,131032,0.15571102499961853,97.48,6546
11858,40.57123947143555,0.050174515694379807,73.79170227050781,-269.95123473,-8.149337768554688,0.03,1336,11,0.0003,131432,0.15500508248806,98.33,6566
12006,39.573936462402344,0.05017128214240074,73.81336975097656,-270.6473724,-9.227594375610352,0.03,1340,10,0.0003,131832,0.1542912721633911,98.33,6586
12152,153.71177673339844,0.05016954243183136,73.93514251708984,-269.08209565,-5.684852600097656,0.03,1344,10,0.0003,132232,0.15360918641090393,98.33,6606
12343,69.20218658447266,0.05017000436782837,73.92778015136719,-265.81302172000005,-7.160009384155273,0.03,1348,10,0.0003,132632,0.15296202898025513,98.33,6626
12521,43.00938415527344,0.05017247796058655,73.41561889648438,-262.57094438,-6.956340789794922,0.03,1352,10,0.0003,133032,0.15228582918643951,98.33,6646
12701,52.34062957763672,0.05017148703336716,73.29046630859375,-262.02225611,-8.46950626373291,0.02,1356,10,0.0003,133432,0.15156391263008118,99.19,6666
12860,127.38170623779297,0.05016995221376419,72.94568634033203,-261.04217947,-6.30037784576416,0.02,1360,10,0.0003,133832,0.15085740387439728,99.19,6686
12991,24.895462036132812,0.0501704066991806,74.61492156982422,-260.51899215000003,-8.284172058105469,0.03,1364,10,0.0003,134152,0.15029597282409668,98.39,6702
13160,46.88971710205078,0.05017209053039551,73.74887084960938,-259.10978875,-8.170001983642578,0.03,1368,10,0.0003,134552,0.1496039479970932,98.39,6722
13331,110.32246398925781,0.05017340928316116,72.73130798339844,-256.12393249999997,-7.699038028717041,0.03,1372,10,0.0003,134952,0.14892391860485077,98.39,6742
13501,82.65544128417969,0.050171807408332825,73.2186508178711,-256.10971777000003,-7.925898551940918,0.02,1376,10,0.0003,135352,0.14819306135177612,99.1,6762
13666,69.81188201904297,0.05016708001494408,73.7269515991211,-255.91328452000002,-11.145084381103516,0.02,1380,9,0.0003,135752,0.14750301837921143,99.1,6782
13841,39.86286163330078,0.05016582831740379,73.78486633300781,-256.9383894,-7.74898624420166,0.02,1384,9,0.0003,136152,0.14683972299098969,99.1,6802
14011,102.16233825683594,0.05016593635082245,74.41847229003906,-257.22681886,-8.591386795043945,0.02,1388,9,0.0003,136552,0.14622826874256134,99.1,6822
14136,25.3512020111084,0.050164442509412766,75.1936264038086,-250.56888675000002,-7.921457290649414,0.03,1392,9,0.0003,136856,0.14572978019714355,98.14,6837
14311,122.27726745605469,0.05016317218542099,74.05496215820312,-250.29384058,-6.67582893371582,0.03,1396,9,0.0003,137256,0.14505045115947723,98.14,6857
14468,99.713134765625,0.05016130954027176,74.30360412597656,-254.31476679000002,-5.9141035079956055,0.03,1400,9,0.0003,137656,0.14437991380691528,98.14,6877
14644,68.25997924804688,0.05015799403190613,74.64390563964844,-254.50272454000003,-6.727739334106445,0.02,1404,9,0.0003,138056,0.14367978274822235,98.24,6897
14816,40.727012634277344,0.05016007274389267,74.6294174194336,-253.84884265,-7.109649658203125,0.02,1408,9,0.0003,138456,0.14304053783416748,98.24,6917
14999,148.4261932373047,0.050161212682724,74.71035766601562,-247.69453063,-9.592129707336426,0.02,1412,9,0.0003,138856,0.14240241050720215,98.24,6937
15192,68.08416748046875,0.05016317963600159,74.0428466796875,-244.58656175,-10.832173347473145,0.02,1416,9,0.0003,139256,0.1417360156774521,98.24,6957
15345,24.698631286621094,0.050163861364126205,73.93812561035156,-238.74396664999998,-9.121797561645508,0.02,1420,9,0.0003,139656,0.14105962216854095,98.24,6977
15499,21.68124771118164,0.05016280338168144,74.7375259399414,-230.98173617,-7.730105876922607,0.02,1424,9,0.0003,140056,0.14039121568202972,98.24,6997
15675,42.90938186645508,0.05016122758388519,74.43119812011719,-225.00155272999996,-10.35529899597168,0.02,1428,8,0.0003,140456,0.13971704244613647,98.24,7017
15848,26.575042724609375,0.05015970766544342,73.59051513671875,-216.21555933,-10.308517456054688,0.02,1432,8,0.0003,140856,0.13901548087596893,98.24,7037
16022,86.1805419921875,0.05015917867422104,75.04345703125,-204.16861546,-7.065518856048584,0.02,1436,8,0.0003,141256,0.13829785585403442,98.24,7057
16188,28.671512603759766,0.05015857145190239,74.76895904541016,-198.84316095999998,-12.725528717041016,0.02,1440,8,0.0003,141656,0.13761647045612335,98.24,7077
16375,61.121788024902344,0.05015626549720764,74.8271713256836,-195.94558941000003,-5.555444240570068,0.02,1444,8,0.0003,142056,0.13693514466285706,98.24,7097
16554,66.58573913574219,0.05015602707862854,74.39926147460938,-193.96670228000005,-7.314530372619629,0.02,1448,8,0.0003,142456,0.13628730177879333,98.24,7117
16752,105.53018188476562,0.050154417753219604,74.35525512695312,-191.94905521,-7.568892002105713,0.02,1452,8,0.0003,142856,0.13563641905784607,98.24,7137
16902,41.74090576171875,0.0501573383808136,74.85734558105469,-190.57046615,-9.815204620361328,0.03,1456,8,0.0003,143194,0.13513721525669098,97.62,7154
17080,42.77534484863281,0.05016028508543968,75.32173156738281,-186.75861604999997,-9.294610977172852,0.03,1460,8,0.0003,143594,0.1345502734184265,97.62,7174
17290,69.69915771484375,0.050160638988018036,74.57183074951172,-187.5884868,-10.495084762573242,0.02,1464,8,0.0003,143994,0.13392454385757446,98.42,7194
17486,79.55351257324219,0.050164710730314255,75.1363754272461,-185.44108599,-5.883098602294922,0.02,1468,8,0.0003,144394,0.1333506554365158,98.42,7214
17678,46.779422760009766,0.05016312003135681,74.96630859375,-184.57444787999998,-6.841019153594971,0.02,1472,8,0.0003,144794,0.1327286809682846,98.42,7234
17843,23.523122787475586,0.05015899986028671,74.63035583496094,-181.40295063999997,-7.38911247253418,0.03,1476,8,0.0003,145141,0.1321079283952713,97.89,7252
18000,84.65745544433594,0.050156235694885254,74.55908203125,-181.81293558999997,-10.020833969116211,0.04,1480,8,0.0003,145523,0.13148233294487,97.71,7271
18210,44.42185974121094,0.05015510320663452,75.24444580078125,-178.98388732999996,-8.410594940185547,0.04,1484,8,0.0003,145923,0.13086950778961182,97.71,7291
18363,104.83982849121094,0.05015319213271141,74.33695983886719,-173.40203540000002,-6.868659019470215,0.05,1488,7,0.0003,146236,0.13041000068187714,96.84,7306
18530,116.80903625488281,0.05015012249350548,74.79525756835938,-171.30310489,-6.130232810974121,0.04,1492,7,0.0003,146636,0.12979421019554138,97.8,7326
18680,28.21395492553711,0.050147607922554016,75.38497161865234,-168.21468714,-10.706697463989258,0.05,1496,7,0.0003,146981,0.1292230784893036,97.25,7344
18880,73.54246520996094,0.05014275014400482,75.34691619873047,-165.14941369,-5.0923004150390625,0.05,1500,7,0.0003,147381,0.12859675288200378,97.25,7364
19071,86.95286560058594,0.05014197528362274,75.56167602539062,-163.11018294,-6.159248352050781,0.05,1504,7,0.0003,147781,0.1280285269021988,97.25,7384
19228,3.710653066635132,0.05014199763536453,75.55902099609375,-160.24170863999998,-7.792636871337891,0.06,1508,7,0.0003,148104,0.12756700813770294,96.48,7400
19431,3.68453049659729,0.05014125630259514,75.55452728271484,-159.61039861,-6.881394863128662,0.06,1512,7,0.0003,148504,0.12697400152683258,96.48,7420
19630,25.12331199645996,0.05013711377978325,74.94670104980469,-158.23387627,-12.412178039550781,0.06,1516,7,0.0003,148904,0.1263798326253891,96.48,7440
19823,68.03459930419922,0.05013753101229668,75.1220703125,-160.98201086999998,-8.758554458618164,0.06,1520,7,0.0003,149304,0.12583167850971222,96.48,7460
20014,4.793173789978027,0.05013786256313324,74.35594177246094,-166.28404867,-6.152533531188965,0.06,1524,7,0.0003,149704,0.12528368830680847,96.48,7480
