time/total timesteps,time/fps,train/critic_loss,rollout/ep_len_mean,train/actor_loss,time/episodes,rollout/ep_rew_mean,train/n_updates,train/learning_rate,time/time_elapsed,rollout/success rate
1175354,20,415.31773609161377,4586.74,730.9848828125,173,-26432.552981400004,1175200,0.001,57122,0.85
1177946,20,476.42440269470217,4512.66,727.0527258300781,174,-25730.62970376,1177800,0.001,57251,0.86
1179099,20,366.41962867736817,4424.19,720.9370300292969,175,-24778.542018770004,1178900,0.001,57304,0.87
1179497,20,178.657936668396,4413.48,723.6673986816406,176,-24737.9287662,1179300,0.001,57330,0.87
1180980,20,148.95265670776368,4328.31,724.9834594726562,177,-24489.716031449996,1180800,0.001,57401,0.88
1183355,20,154.99011951446533,4252.06,735.8654370117188,178,-24214.151806569993,1183200,0.001,57518,0.89
1193355,20,98.09821384429932,4314.86,752.800654296875,179,-26354.937985389995,1193200,0.001,58001,0.88
1198564,20,416.82711078643797,4266.95,739.5079309082031,180,-26421.633827280002,1198400,0.001,58254,0.89
1199913,20,158.34975616455077,4180.44,734.38517578125,181,-25983.268341240004,1199800,0.001,58319,0.9
1204068,20,480.6630212020874,4121.99,733.9832287597657,182,-25212.14792224,1203900,0.001,58518,0.91
1205799,20,168.18536247253417,4039.3,738.1338256835937,183,-24894.95390943,1205600,0.001,58602,0.92
1207179,20,334.29096389770507,3980.31,742.3163757324219,184,-24488.67025165,1207000,0.001,58673,0.92
1210593,20,269.39264842987063,3914.45,729.5115441894532,185,-23931.1639593,1210400,0.001,58834,0.93
1210781,20,115.09267543792724,3850.24,746.0424816894531,186,-22974.46030921,1210600,0.001,58843,0.93
1211873,20,345.9546595001221,3827.24,749.3837915039062,187,-22868.618763089995,1211700,0.001,58897,0.93
1216191,20,311.536353187561,3830.77,738.9158581542969,188,-22911.843859930003,1216000,0.001,59110,0.93
1218336,20,264.7874200820923,3812.87,737.3333850097656,189,-22757.7633924,1218200,0.001,59208,0.93
1219360,20,130.70678081512452,3808.11,741.3549475097657,190,-22736.039689960002,1219200,0.001,59261,0.93
1229360,20,127.32365999221801,3835.34,738.7245458984376,191,-22763.095234180008,1229200,0.001,59746,0.92
1230751,20,128.7994832611084,3804.65,737.8447277832031,192,-22552.997466970006,1230600,0.001,59813,0.92
1231863,20,398.0756768798828,3783.45,738.3326770019531,193,-22416.21394711001,1231700,0.001,59868,0.92
1232580,20,208.11111560821533,3781.42,740.3504077148438,194,-22411.96564475001,1232400,0.001,59906,0.92
1234276,20,242.52224159240723,3698.38,728.9129064941407,195,-22221.24025950001,1234100,0.001,59987,0.93
1234553,20,186.49097198486328,3689.89,730.0314111328125,196,-22210.906267140006,1234400,0.001,59998,0.93
1235046,20,327.88223625183105,3679.06,735.893427734375,197,-22210.821292360008,1234900,0.001,60027,0.93
1237659,20,360.02341205596923,3635.28,725.0482299804687,198,-22158.06139768001,1237500,0.001,60152,0.93
1238761,20,300.25209171295165,3603.99,731.9071350097656,199,-21886.395349520004,1238600,0.001,60204,0.93
1240267,20,189.77993354797363,3561.7,728.4839965820313,200,-21686.338785700005,1240100,0.001,60279,0.93
1244823,20,157.28462955474853,3588.17,735.0190368652344,201,-21905.871721440006,1244700,0.001,60493,0.93
1245275,20,111.06058986663818,3562.61,729.2287780761719,202,-21745.732764170003,1245100,0.001,60521,0.93
1246670,20,365.19638984680176,3545.78,731.4141479492188,203,-21694.369508960004,1246500,0.001,60588,0.93
1249893,20,226.9571594619751,3542.57,727.7889831542968,204,-21611.347974940003,1249700,0.001,60739,0.93
1251714,20,213.6217014694214,3478.0,732.6281567382813,205,-21525.589633550007,1251600,0.001,60834,0.93
1253808,20,207.67492977142334,3421.67,740.810390625,206,-21408.895071700004,1253700,0.001,60929,0.93
1254382,20,247.26195316314698,3405.87,729.6255212402343,207,-21359.427072580005,1254200,0.001,60962,0.93
1256413,20,182.6921285247803,3338.38,720.6655224609375,208,-21284.91698477,1256300,0.001,61055,0.93
1257582,20,196.71317371368409,3259.12,735.5902514648437,209,-20141.11022452,1257400,0.001,61111,0.93
1259734,20,142.32085643768312,3232.82,723.1991772460938,210,-20090.04115268,1259600,0.001,61220,0.93
1262244,20,199.75010566711427,3157.92,728.3509924316406,211,-19939.265815619998,1262100,0.001,61341,0.94
1262969,20,838.5735132217408,3065.17,723.0710656738281,212,-18312.991434710002,1262800,0.001,61379,0.95
1267739,20,393.14045013427733,3109.6,728.9048510742188,213,-18475.72880716,1267600,0.001,61604,0.95
1268764,20,167.41123718261719,3114.71,713.0238830566407,214,-18512.435139510002,1268600,0.001,61655,0.95
1272232,20,883.3526022720337,3079.26,720.1978601074219,215,-18471.71531571,1272100,0.001,61827,0.95
1272971,20,145.80019611358642,3076.08,723.4783874511719,216,-18479.50811992,1272800,0.001,61862,0.95
1274974,20,361.6826824188232,3055.17,724.5690515136719,217,-18435.59974653,1274800,0.001,61958,0.95
1277982,20,251.39248210906982,3027.92,719.2987622070312,218,-18371.5516105,1277800,0.001,62103,0.95
1279288,20,276.55714977264404,3027.84,726.7005822753906,219,-18389.20940575,1279100,0.001,62167,0.95
1282041,20,306.71465312957764,2987.18,728.9411547851563,220,-17738.68930705,1281900,0.001,62303,0.95
1282982,20,200.26944034576417,2977.38,723.41041015625,221,-17648.48272251,1282800,0.001,62344,0.95
1283811,20,325.1485427856445,2950.4,718.8475695800781,222,-17524.52422594,1283700,0.001,62387,0.95
1286476,20,476.1159676361084,2969.24,732.2550439453125,223,-17736.918156350002,1286300,0.001,62515,0.95
1288266,20,193.50647960662843,2918.84,719.0427734375,224,-17684.384427490004,1288100,0.001,62605,0.95
1292250,20,191.1865592956543,2924.77,725.3258984375,225,-17851.040350780004,1292100,0.001,62799,0.95
1294395,20,322.43087936401366,2917.47,716.7593151855468,226,-17852.059407400004,1294200,0.001,62897,0.95
1295290,20,196.1215796661377,2879.76,714.1268933105468,227,-17666.13851752,1295100,0.001,62942,0.95
1296925,20,389.17232433319094,2883.14,727.3172863769531,228,-17716.47373837,1296800,0.001,63021,0.95
1299097,20,167.77983531951904,2820.58,729.7109875488281,229,-17100.938904460003,1298900,0.001,63129,0.95
1300162,20,318.0555221557617,2827.59,721.8506701660157,230,-17136.539631280004,1300000,0.001,63182,0.95
1301640,20,265.2445495986938,2812.16,713.4721484375,231,-17079.539147840005,1301500,0.001,63253,0.95
1302837,20,135.31280002593994,2785.12,722.9555773925781,232,-17021.07365095,1302700,0.001,63311,0.95
1304639,20,184.4555881881714,2730.53,730.1439147949219,233,-16820.043573429997,1304500,0.001,63402,0.95
1305167,20,728.7571403884888,2720.31,713.7099987792968,234,-16752.270148479998,1305000,0.001,63428,0.95
1306822,20,120.67647235870362,2718.4,721.6318566894531,235,-16746.13952573,1306700,0.001,63505,0.95
1307555,20,117.2742013168335,2625.73,720.6628723144531,236,-16471.15264777,1307400,0.001,63543,0.96
1310915,20,88.27585823059081,2619.9,726.9448229980469,237,-16481.255790850002,1310800,0.001,63706,0.96
1312025,20,253.03416831970216,2571.69,714.275400390625,238,-16304.94102529,1311900,0.001,63756,0.96
1312906,20,340.3011566543579,2559.01,729.0956872558594,239,-16198.39728321,1312800,0.001,63802,0.96
1314678,20,163.24466053009033,2530.73,717.1663171386718,240,-16123.21100807,1314500,0.001,63888,0.96
1314808,20,267.5608041763306,2466.24,704.5363073730468,241,-15837.120118490002,1314700,0.001,63899,0.96
1315963,20,276.0054489517212,2453.88,705.935361328125,242,-15794.593094749998,1315800,0.001,63953,0.96
1316643,20,252.50132606506347,2436.94,702.7314733886719,243,-15756.823839789999,1316500,0.001,63984,0.96
1317561,20,266.4813844680786,2346.12,718.0434729003906,244,-15140.082433949998,1317400,0.001,64032,0.97
1318441,20,398.6437125778198,2348.55,703.0046228027344,245,-15158.168139359997,1318300,0.001,64073,0.97
1323441,20,446.58399883270266,2355.02,707.2520495605469,246,-15057.848197019997,1323300,0.001,64316,0.97
1333368,20,376.74670864105224,2354.29,694.1743762207032,247,-14604.55823391,1333200,0.001,64795,0.98
1334602,20,131.0596110534668,2360.96,697.9352416992188,248,-14595.4754932,1334500,0.001,64856,0.98
1339545,20,213.39773639678955,2391.69,686.7192370605469,249,-14742.665015370001,1339400,0.001,65095,0.98
1342234,20,181.02874546051027,2378.79,684.033203125,250,-14658.526774060003,1342100,0.001,65224,0.98
1343780,20,417.9774164199829,2307.85,692.3473901367188,251,-13780.388040670001,1343600,0.001,65301,0.98
1347355,20,200.16606651306154,2279.74,680.9774426269531,252,-13498.31122362,1347200,0.001,65473,0.98
1348494,20,241.45558391571046,2210.84,681.7114501953125,253,-13331.94962848,1348300,0.001,65529,0.98
1351263,20,194.11614912033082,2235.57,677.089501953125,254,-13389.90822152,1351100,0.001,65662,0.98
