time/total timesteps,time/time_elapsed,rollout/success rate,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate
306068,5066,0.82,60,-2678.97523523,27.38,6822,305960,11133.56826171875,5239804.15,0.001
306070,5103,0.82,59,-2678.2684900200006,27.36,6823,,,,
306170,5123,0.81,59,-2721.7741400200007,27.83,6824,306060,11144.771875,5393978.709375,0.001
306175,5130,0.81,59,-2731.0247234800004,27.8,6825,,,,
306275,5160,0.81,59,-2745.39065182,27.8,6826,306160,10997.855078125,8034915.3625,0.001
306321,5194,0.81,58,-2754.9711644300005,28.24,6827,306220,11099.53681640625,9205219.6,0.001
306421,5219,0.81,58,-2776.1106942600004,28.24,6828,306320,10976.96083984375,7715395.25,0.001
306428,5222,0.82,58,-2019.0320337099997,27.31,6829,,,,
306464,5242,0.82,58,-2016.7091959599995,27.63,6830,306360,11126.39326171875,6720534.71875,0.001
306467,5259,0.82,58,-2006.7489945399998,27.64,6831,,,,
306470,5276,0.82,58,-2004.4427754300004,27.62,6832,,,,
306474,5278,0.82,58,-2013.96939481,27.59,6833,,,,
306574,5308,0.81,57,-2042.1555798400004,28.55,6834,306460,11052.13623046875,6735383.80625,0.001
306576,5324,0.81,57,-2040.5445993600003,28.52,6835,,,,
306586,5333,0.81,57,-2041.56572041,28.58,6836,306480,11154.5806640625,5436607.65,0.001
306595,5347,0.81,57,-2070.23132966,28.62,6837,,,,
306695,5366,0.81,57,-2071.1567807099996,28.62,6838,306580,11095.418359375,5739660.475,0.001
306699,5378,0.81,57,-2064.5769381700006,28.36,6839,,,,
306703,5405,0.82,56,-2041.83820306,27.4,6840,306600,11233.7271484375,7470818.5,0.001
306706,5437,0.82,56,-2030.62522616,27.32,6841,,,,
306718,5452,0.82,56,-2021.2417133500003,27.31,6842,,,,
306726,5466,0.83,56,-1965.55030856,26.39,6843,306620,11173.65625,6004951.25,0.001
306733,5479,0.83,55,-1954.2673672799997,26.33,6844,,,,
306739,5487,0.83,55,-1946.9518805999996,26.36,6845,,,,
306743,5494,0.83,55,-1945.4305346399997,26.33,6846,306640,11143.26064453125,6913601.2875,0.001
306751,5497,0.83,55,-1946.1761329599997,26.37,6847,,,,
306763,5502,0.83,55,-1938.0221316799996,26.45,6848,306660,11055.76435546875,6239987.91875,0.001
306767,5524,0.83,55,-1955.7103735699995,26.42,6849,,,,
306773,5543,0.83,55,-1956.8849938699998,26.44,6850,,,,
306779,5576,0.83,55,-1956.49593329,26.45,6851,,,,
306784,5629,0.84,54,-1871.49654861,25.5,6852,306680,11127.0634765625,6194201.68125,0.001
306793,5653,0.85,54,-1719.79599966,24.59,6853,,,,
306798,5685,0.85,53,-1718.6597183400002,24.55,6854,,,,
306801,5687,0.85,53,-1719.6470163600002,24.53,6855,306700,11093.94541015625,6260015.45,0.001
306901,5712,0.84,53,-1821.47199429,25.5,6856,306800,11161.10419921875,6935055.525,0.001
307001,5743,0.83,53,-1944.31395086,26.42,6857,306900,11051.29677734375,6088924.73125,0.001
307101,5763,0.82,53,-1965.08382126,27.17,6858,307000,11070.95341796875,6879684.06875,0.001
307104,5770,0.82,53,-1963.21889982,27.15,6859,,,,
307115,5784,0.83,53,-1658.7352275199999,26.26,6860,,,,
307120,5802,0.84,52,-1622.31854761,25.31,6861,,,,
307135,5807,0.84,52,-1622.9994069499999,25.35,6862,307020,10999.4640625,5646563.909375,0.001
307235,5854,0.83,52,-1675.59031549,26.31,6863,307120,11055.18779296875,7292624.2625,0.001
307242,5857,0.83,52,-1665.34680604,26.34,6864,307140,11168.005859375,7093733.10625,0.001
307251,5865,0.83,52,-1667.8811610399998,26.39,6865,,,,
307257,5868,0.84,52,-1636.9064844499997,25.45,6866,,,,
307282,5880,0.84,52,-1640.86409401,25.66,6867,307180,11126.096484375,6318811.14375,0.001
307289,5898,0.84,52,-1632.7368615599999,25.67,6868,,,,
307305,5907,0.84,52,-1631.99148643,25.69,6869,307200,11181.10263671875,4720320.5125,0.001
307309,5915,0.84,51,-1630.45813659,25.64,6870,,,,
307325,5930,0.84,51,-1633.6733588300003,25.75,6871,307220,11254.966015625,5617447.921875,0.001
307338,5939,0.84,51,-1634.96843272,25.83,6872,,,,
307346,5957,0.84,51,-1635.76493634,25.88,6873,307240,11187.12978515625,7179164.925,0.001
