time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,rollout/success rate,time/episodes,time/total timesteps,train/actor_loss,train/learning_rate,train/n_updates,train/critic_loss
17392,-221302.13599283996,4993.15,55,0.01,194,966289,5130.000087890625,0.001,941200,16058.638239746093
17482,-220903.70603521998,4993.15,55,0.01,195,971289,5059.55240234375,0.001,946200,64832.62825927734
17572,-218274.49282786006,4993.15,55,0.01,196,976289,5007.046337890625,0.001,951200,37460.16828125
17662,-218256.62528051,4993.15,55,0.01,197,981289,5042.94087890625,0.001,956200,14463.79598388672
17751,-218134.72210365,4993.15,55,0.01,198,986289,4989.321298828125,0.001,961200,19842.14530029297
17841,-217942.52918442,4993.15,55,0.01,199,991289,5026.338984375,0.001,966200,39489.94901123047
17930,-218421.09982437,4993.15,55,0.01,200,996289,5074.33302734375,0.001,971200,13740.045112304688
18021,-217810.15804086,4993.15,55,0.01,201,1001289,4963.43931640625,0.001,976200,21281.27050048828
18111,-217776.27657170995,4993.15,55,0.01,202,1006289,4990.6101171875,0.001,981200,21641.473188476564
18201,-217022.14320103,4993.15,55,0.01,203,1011289,4955.70642578125,0.001,986200,47400.17244140625
18290,-211795.95978762,4993.15,55,0.01,204,1016289,4952.9148046875,0.001,991200,31664.683981933595
18380,-211608.03809590003,4993.15,55,0.01,205,1021289,4921.3967578125,0.001,996200,37907.691962890625
18470,-211910.84402632003,4993.15,55,0.01,206,1026289,4962.297822265625,0.001,1001200,71927.68282714844
18560,-211519.7296392,4993.15,55,0.01,207,1031289,4896.083525390625,0.001,1006200,13721.135703125
18650,-212140.72910780003,4993.15,55,0.01,208,1036289,4790.89533203125,0.001,1011200,26005.20724609375
18740,-211380.05950214004,4993.15,55,0.01,209,1041289,4852.512080078125,0.001,1016200,26108.215349121092
18830,-210288.47078648006,4993.15,55,0.01,210,1046289,4800.83703125,0.001,1021200,33547.29970703125
18921,-210748.52631384003,4993.15,55,0.01,211,1051289,4840.481591796875,0.001,1026200,28547.764782714843
19011,-210002.54167005004,4993.15,55,0.01,212,1056289,4672.203994140625,0.001,1031200,19123.154765625
19101,-209745.71189401005,4993.15,55,0.01,213,1061289,4753.172314453125,0.001,1036200,69411.67813964844
19191,-209473.03232894,4993.15,55,0.01,214,1066289,4642.048779296875,0.001,1041200,12482.020888671876
19281,-203600.76621726996,4993.15,55,0.01,215,1071289,4733.43876953125,0.001,1046200,10378.794780273438
19371,-196175.54219033002,4993.15,55,0.01,216,1076289,4761.514111328125,0.001,1051200,11141.032458496094
19461,-196231.75512786,4993.15,55,0.01,217,1081289,4769.261181640625,0.001,1056200,180093.6382470703
19550,-194204.00241005005,4993.15,55,0.01,218,1086289,4752.06044921875,0.001,1061200,27539.116188964843
19641,-193716.61138464004,4993.15,55,0.01,219,1091289,4705.681162109375,0.001,1066200,42957.60673339844
19730,-193345.31798359996,4993.15,55,0.01,220,1096289,4832.2486328125,0.001,1071200,16379.53912841797
19821,-194469.42512171,4993.15,55,0.01,221,1101289,4758.200849609375,0.001,1076200,10622.938146972656
19911,-191743.21129717,4993.15,55,0.01,222,1106289,4739.1460791015625,0.001,1081200,32625.433935546876
20001,-191851.7292618,4993.15,55,0.01,223,1111289,4752.598056640625,0.001,1086200,31441.811176757812
20091,-191172.57475853004,4993.15,55,0.01,224,1116289,4736.272734375,0.001,1091200,19770.257829589842
20181,-191082.51169590003,4993.15,55,0.01,225,1121289,4782.59220703125,0.001,1096200,130437.24917480469
20271,-194531.46927175001,4993.15,55,0.01,226,1126289,4754.4423828125,0.001,1101200,44894.35369384765
20361,-195301.90577164004,4993.15,55,0.01,227,1131289,4729.007314453125,0.001,1106200,40790.71685058594
20451,-195179.22266224996,4993.15,55,0.01,228,1136289,4852.714892578125,0.001,1111200,18020.771423339844
20540,-195635.45179371,4993.15,55,0.01,229,1141289,4761.182177734375,0.001,1116200,15105.819399414062
20632,-201231.85451252,4993.15,55,0.01,230,1146289,4730.10228515625,0.001,1121200,48805.32065429688
20722,-202024.58779979998,4993.15,55,0.01,231,1151289,4777.2682421875,0.001,1126200,12845.705612792968
20812,-202160.94612407003,4993.15,55,0.01,232,1156289,4812.332666015625,0.001,1131200,14405.506020507812
20902,-202771.77905137002,4993.15,55,0.01,233,1161289,4852.57248046875,0.001,1136200,33741.5144140625
20992,-202773.0123692,4993.15,55,0.01,234,1166289,4774.492124023437,0.001,1141200,15656.201857910157
21082,-202981.27983869996,4993.15,55,0.01,235,1171289,4797.175346679687,0.001,1146200,39405.954169921875
21172,-201472.75700544997,4993.15,55,0.01,236,1176289,4771.104443359375,0.001,1151200,30131.90856201172
21262,-202387.66068847998,4993.15,55,0.01,237,1181289,4713.1530078125,0.001,1156200,14619.12457763672
21352,-203634.10528713997,4993.15,55,0.01,238,1186289,4749.38203125,0.001,1161200,12151.92162109375
21442,-204085.63517340994,4993.15,55,0.01,239,1191289,4684.699951171875,0.001,1166200,65512.661162109376
21532,-204567.31562238996,4993.15,55,0.01,240,1196289,4686.554487304687,0.001,1171200,37039.19798828125
21622,-204537.49492347997,4993.15,55,0.01,241,1201289,4718.69025390625,0.001,1176200,32467.773420410158
21712,-205171.03842724994,4993.15,55,0.01,242,1206289,4761.53412109375,0.001,1181200,18607.696455078127
21802,-205161.28108591997,4993.15,55,0.01,243,1211289,4702.0205859375,0.001,1186200,23205.77396484375
21892,-205513.69298688998,4993.15,55,0.01,244,1216289,4732.631538085938,0.001,1191200,10958.264838867188
21982,-205712.36483890004,4993.15,55,0.01,245,1221289,4609.02939453125,0.001,1196200,40762.31733642578
22072,-206481.61950452998,4993.15,55,0.01,246,1226289,4678.727143554687,0.001,1201200,23906.792756347655
22162,-206098.90090174,4993.15,55,0.01,247,1231289,4702.755556640625,0.001,1206200,11634.136838378907
