time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,time/episodes,rollout/ep_len_mean,train/n_updates,train/learning_rate,time/fps,time/total timesteps,rollout/success rate,train/critic_loss
33964,-282549.79345927,2571.069841308594,954,11860.33,7329400,0.001,215,7329578,0.46,17025.098703613283
34004,-277115.47960311,2504.50314453125,955,11779.46,7331000,0.001,215,7331127,0.46,21634.228303222655
34025,-275946.30121299,2598.6184814453127,956,11712.06,7331800,0.001,215,7331975,0.46,9885.356899414062
34128,-274138.95434904,2518.477392578125,957,11602.39,7335900,0.001,214,7336008,0.47,14315.736838378907
34310,-272968.53441539005,2561.2752783203123,958,11524.19,7343000,0.001,214,7343188,0.48,18726.62464355469
34689,-275907.21264571,2586.00732421875,959,11524.19,7358000,0.001,212,7358188,0.48,12104.276346435547
34989,-275754.76288195,2636.457685546875,960,11492.03,7369800,0.001,210,7369972,0.49,9302.941042480468
35369,-276805.09107623005,2565.504147949219,961,11568.98,7384800,0.001,208,7384972,0.48,17692.871396484374
35749,-277715.26924528,2579.0347412109377,962,11654.26,7399800,0.001,206,7399972,0.47,9376.203364257812
36131,-277582.11107319,2514.3108642578127,963,11695.28,7414800,0.001,205,7414972,0.46,21586.94900390625
36511,-277426.05946972,2533.0723779296877,964,11695.28,7429800,0.001,203,7429972,0.46,10736.697141113282
36891,-278849.57367353,2386.1854467773437,965,11800.66,7444800,0.001,201,7444972,0.45,9558.614040527344
37272,-278396.74039972,2224.6371435546876,966,11800.66,7459800,0.001,200,7459972,0.45,16554.384450683592
37653,-278546.71472179005,2169.4266381835937,967,11800.66,7474800,0.001,198,7474972,0.45,13205.624401855468
37840,-277020.51653854,2169.8843627929687,968,11724.56,7482200,0.001,197,7482362,0.46,18444.584848632814
38222,-277186.91185499,2176.820539550781,969,11724.56,7497200,0.001,196,7497362,0.46,38813.860859375
38394,-277874.13455639005,2155.7488256835936,970,11775.28,7504000,0.001,195,7504145,0.46,9477.413580322265
38501,-278035.77149474,2137.440439453125,971,11792.35,7508200,0.001,195,7508306,0.46,9298.022841796876
38880,-277758.87070486,2158.063122558594,972,11792.35,7523200,0.001,193,7523306,0.46,8406.351638183594
39261,-277148.25081982,2126.0345654296875,973,11792.35,7538200,0.001,192,7538306,0.46,14267.436257324218
39591,-277693.23097158,2135.4772875976564,974,11868.15,7551200,0.001,190,7551303,0.46,14374.887196044921
39972,-279451.15401020995,2111.4096752929686,975,11997.18,7566200,0.001,189,7566303,0.45,12871.726365966797
40105,-273840.24478148,2085.875485839844,976,11899.97,7571400,0.001,188,7571582,0.46,12380.734759521485
40486,-274437.85527179,2075.0845361328124,977,11941.06,7586400,0.001,187,7586582,0.45,32812.11474609375
40865,-274400.21384884,2109.206374511719,978,11941.06,7601400,0.001,186,7601582,0.45,12817.259575195312
41248,-274277.49348156,2114.5508813476563,979,11941.06,7616400,0.001,184,7616582,0.45,11569.690190429688
41629,-274013.02530847,2098.6234692382814,980,11941.06,7631400,0.001,183,7631582,0.45,7284.289206542969
42009,-250460.86437283002,2088.0961767578124,981,11941.06,7646400,0.001,182,7646582,0.45,6417.853216552734
42376,-238331.01261453002,2081.5791625976562,982,11935.9,7660900,0.001,180,7661066,0.46,11956.118341064453
