time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,train/clip_range,train/loss,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/std,train/entropy_loss,train/explained_variance,train/n_updates,train/learning_rate,train/value_loss
16985,571,-563.6738287599999,99.22,257100,15,0.2,3575.961669921875,-0.021134343400626678,0.20599998980760575,0.04637495,0.9004801511764526,-7.8831908226013185,-0.08659112453460693,12845,0.0003,7190.03896484375
17010,572,-563.7588744399999,99.22,257200,15,0.2,3414.658203125,-0.011939315587369492,0.20399999618530273,0.043762844,0.9004161357879639,-7.883267784118653,0.060974061489105225,12850,0.0003,6859.280859375
17049,573,-558.82810284,98.47,257300,15,0.2,3536.00244140625,-0.007852472968261281,0.3159999936819077,0.059137277,0.9003269076347351,-7.882666492462159,-0.10084176063537598,12855,0.0003,7088.5865234375
17068,574,-559.08004341,98.47,257400,15,0.2,6093.8095703125,-0.00937512899217836,0.0879999991506338,0.016467761,0.900288999080658,-7.882223224639892,0.04358464479446411,12860,0.0003,12452.51640625
17096,575,-558.8119086900001,98.47,257500,15,0.2,3057.0458984375,-0.010625243142203544,0.19999999701976776,0.039315972,0.9002503156661987,-7.882018947601319,-0.032729387283325195,12865,0.0003,6204.19482421875
17126,576,-558.93286599,98.47,257600,15,0.2,2726.571533203125,-0.0011254777055000886,0.13600000068545343,0.020497775,0.9001907110214233,-7.881672954559326,0.11362981796264648,12870,0.0003,5557.49501953125
17159,577,-558.4210835599999,98.47,257700,15,0.2,2866.163818359375,-0.01925332450118731,0.28799999952316285,0.063671775,0.9000985026359558,-7.881237316131592,-0.050385236740112305,12875,0.0003,5788.54208984375
17200,578,-558.5334999299998,98.47,257800,14,0.2,2754.011474609375,-0.004801990024679981,0.24399999380111695,0.049882278,0.9000372290611267,-7.880639553070068,0.09871053695678711,12880,0.0003,5520.6970703125
17243,579,-558.6956683499999,98.47,257900,14,0.2,2757.1640625,-0.021301461978873705,0.32399999648332595,0.07628327,0.9000581502914429,-7.880437564849854,-0.1598607301712036,12885,0.0003,5542.79521484375
17280,580,-558.67913572,98.47,258000,14,0.2,2365.089599609375,-0.006280813678313279,0.14799999445676804,0.02396497,0.900098443031311,-7.8806510925292965,0.027161777019500732,12890,0.0003,4777.988671875
17318,581,-558.4056696499999,98.47,258100,14,0.2,2390.120849609375,-0.0029618079352076165,0.25999999791383743,0.029405836,0.9001261591911316,-7.880883121490479,0.019175350666046143,12895,0.0003,4795.73798828125
17348,582,-558.4987625900001,98.47,258200,14,0.2,2539.389892578125,0.005334511151522748,0.2439999870955944,0.032744784,0.900180995464325,-7.8810981750488285,-0.05452466011047363,12900,0.0003,5090.8181640625
17384,583,-558.6032259,98.47,258300,14,0.2,2395.4892578125,-0.004439948774597724,0.15199999511241913,0.023458177,0.9003116488456726,-7.8816581726074215,0.06314235925674438,12905,0.0003,4813.6599609375
17419,584,-558.25091321,98.47,258400,14,0.2,2400.05517578125,-0.0068209761586331295,0.24199999757111074,0.043107755,0.9004048705101013,-7.882489204406738,-0.11081433296203613,12910,0.0003,4807.10732421875
17445,585,-558.48640756,98.47,258500,14,0.2,2280.7353515625,-0.021205167800508205,0.2719999969005585,0.06430784,0.9004027247428894,-7.882890033721924,0.15427535772323608,12915,0.0003,4585.38095703125
17477,586,-558.2577621400001,98.47,258600,14,0.2,2432.524658203125,-0.006384393470398209,0.11000000014901161,0.020813951,0.9003380537033081,-7.882665348052979,-0.13238036632537842,12920,0.0003,4889.07822265625
17516,587,-558.6359599,98.47,258700,14,0.2,2298.668701171875,-0.009693674780419315,0.16999999135732652,0.029862873,0.9002679586410522,-7.882198619842529,0.14987856149673462,12925,0.0003,4616.3681640625
17540,588,-558.77925302,98.47,258800,14,0.2,2549.27783203125,-0.008791019172349479,0.1899999976158142,0.031218896,0.9003036022186279,-7.881950092315674,-0.16778302192687988,12930,0.0003,5123.95732421875
17570,589,-558.92013623,98.47,258900,14,0.2,2223.837646484375,-0.009891730856179493,0.21799999475479126,0.040368084,0.9004174470901489,-7.882434368133545,0.06073951721191406,12935,0.0003,4463.608984375
17605,590,-558.90765799,98.47,259000,14,0.2,2292.33349609375,-0.005410442737047561,0.14399999864399432,0.020847656,0.9004346132278442,-7.883026504516602,-0.10961079597473145,12940,0.0003,4617.6203125
17640,591,-559.06826369,98.47,259100,14,0.2,2294.9248046875,0.0024083756841719152,0.011999999731779098,0.004697887,0.9004993438720703,-7.8831182479858395,0.06501322984695435,12945,0.0003,4589.76689453125
17673,592,-558.84110074,98.47,259200,14,0.2,2264.7763671875,-0.02424980583746219,0.33799999207258224,0.097038746,0.9005264043807983,-7.883589363098144,-0.015820980072021484,12950,0.0003,4544.18076171875
17705,593,-558.3482801600001,98.47,259300,14,0.2,2204.07373046875,-0.005713399868545821,0.16799999177455902,0.026357891,0.9004724025726318,-7.883506774902344,-0.002727031707763672,12955,0.0003,4431.17421875
17743,594,-558.4033030100001,98.47,259400,14,0.2,2346.74169921875,-0.014366730079109402,0.3199999947100878,0.06076805,0.9003505706787109,-7.8829692840576175,-0.13056159019470215,12960,0.0003,4709.34599609375
17785,595,-558.52007446,98.47,259500,14,0.2,2077.407958984375,-0.014145970851677703,0.19399999566376208,0.04433811,0.9002804160118103,-7.882211112976075,0.12363642454147339,12965,0.0003,4181.4103515625
17823,596,-558.34702081,98.47,259600,14,0.2,2527.89599609375,-0.005465457340687862,0.3399999961256981,0.08873323,0.9002277255058289,-7.8818840980529785,-0.16149985790252686,12970,0.0003,5079.3759765625
17865,597,-558.6683115000001,98.47,259700,14,0.2,2268.432861328125,-0.002814450733239937,0.10799999535083771,0.014330349,0.9001611471176147,-7.881485939025879,0.18661010265350342,12975,0.0003,4561.1818359375
17908,598,-558.53597545,98.47,259800,14,0.2,2575.720703125,-0.01203497446331312,0.28599999099969864,0.043306317,0.8998973369598389,-7.880680274963379,0.007300913333892822,12980,0.0003,5164.12548828125
17953,599,-558.96280439,98.47,259900,14,0.2,2557.34912109375,-0.022700859844189836,0.4559999883174896,0.13395424,0.8995940685272217,-7.878726005554199,-0.01952672004699707,12985,0.0003,5145.3953125
17999,600,-558.77072802,98.47,260000,14,0.2,2412.945556640625,-0.008250978246360318,0.1439999956637621,0.015812933,0.899381160736084,-7.876898002624512,-0.011244773864746094,12990,0.0003,4832.97666015625
18043,601,-558.3939209800001,98.47,260100,14,0.2,2377.1689453125,-0.01659613148876815,0.23599999509751796,0.042658914,0.8992481231689453,-7.875768756866455,-0.09548473358154297,12995,0.0003,4823.0396484375
18090,602,-558.4418187,98.47,260200,14,0.2,2271.184814453125,-0.016434400985235697,0.13599999733269214,0.03347348,0.8991470336914062,-7.874958324432373,0.017431795597076416,13000,0.0003,4555.0337890625
18131,603,-558.39331099,98.47,260300,14,0.2,2228.182373046875,-0.006969974707681103,0.2519999921321869,0.033666056,0.8990657329559326,-7.874354553222656,0.03453594446182251,13005,0.0003,4481.55625
18179,604,-558.68222043,98.47,260400,14,0.2,2404.294677734375,-0.025611661106268002,0.4240000009536743,0.11039905,0.899043083190918,-7.87395076751709,-0.0634084939956665,13010,0.0003,4834.09775390625
18228,605,-558.6570487200001,98.47,260500,14,0.2,2446.902099609375,-0.012563850115839159,0.20199999511241912,0.046341658,0.8990210294723511,-7.8738892555236815,-0.07045865058898926,13015,0.0003,4939.6443359375
18277,606,-558.2233046100001,98.47,260600,14,0.2,2066.571533203125,-0.004151874139188294,0.12799999713897706,0.0189264,0.8989377021789551,-7.873595714569092,-0.0552748441696167,13020,0.0003,4169.50908203125
