train/actor_loss,train/n_updates,time/fps,rollout/success rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/learning_rate,time/time_elapsed,time/total timesteps,time/episodes,train/std,train/ent_coef,train/ent_coef_loss,train/critic_loss
57.71166229248047,16213,36,0.03,-55.77660138,98.92,0.0003,8883,324378,3304,0.04962608218193054,0.039576224982738495,0.77009117603302,30.46207618713379
57.85199737548828,16229,36,0.04,-55.04227999,97.97,0.0003,9016,324683,3308,0.04962731525301933,0.03960089758038521,1.3416516780853271,38.362709045410156
56.54643630981445,16249,35,0.04,-55.49348817,97.97,0.0003,9182,325083,3312,0.04962567239999771,0.0395355187356472,1.8473615646362305,44.76378631591797
57.022071838378906,16269,34,0.02,-56.63607340000001,99.01,0.0003,9332,325483,3316,0.04962962865829468,0.03956303745508194,-5.512875556945801,1.5907191038131714
56.94892883300781,16285,34,0.03,-56.2104325,98.24,0.0003,9462,325806,3320,0.049628280103206635,0.03952444717288017,-8.721529006958008,26.50243377685547
57.793800354003906,16305,33,0.03,-56.74555001000001,98.24,0.0003,9627,326206,3324,0.0496259406208992,0.03946792706847191,1.5277854204177856,12.386810302734375
57.73178482055664,16325,33,0.03,-56.42046566000001,98.24,0.0003,9787,326606,3328,0.04962918907403946,0.039477188140153885,-1.5658729076385498,73.42356872558594
56.85448455810547,16345,32,0.03,-56.98026216,98.24,0.0003,9920,327006,3332,0.049626629799604416,0.039425041526556015,0.7098715305328369,39.275089263916016
56.92422103881836,16365,32,0.03,-56.61918619,98.24,0.0003,10066,327406,3336,0.049625471234321594,0.03938078135251999,3.4265425205230713,79.72718811035156
57.223392486572266,16384,32,0.04,-56.7560622,97.99,0.0003,10210,327781,3340,0.04962598532438278,0.03935854882001877,-5.179765701293945,39.49048614501953
56.479183197021484,16404,31,0.04,-56.171645780000006,97.99,0.0003,10339,328181,3344,0.049626242369413376,0.03932816535234451,0.2610161304473877,1.4488182067871094
