rollout/ep_len_mean,time/fps,train/n_updates,time/total timesteps,train/learning_rate,rollout/ep_rew_mean,train/critic_loss,time/episodes,rollout/success rate,time/time_elapsed,train/actor_loss
59.5,92,,207279,,-45.69789874999999,,2528,0.55,2236,
58.63,92,207180,207292,0.001,-45.319127359999996,564.0790592193604,2529,0.56,2241,137.916259765625
57.72,92,207200,207301,0.001,-44.84032745,357.71314392089846,2530,0.57,2243,137.7889602661133
57.0,92,207220,207329,0.001,-44.483232529999995,565.9630624771119,2531,0.58,2251,135.0713882446289
56.91,92,,207333,,-44.45403642,,2532,0.58,2253,
56.94,91,,207340,,-44.4625032,,2533,0.58,2256,
57.72,91,207320,207440,0.001,-44.87316743999999,549.6340036392212,2534,0.57,2274,135.220751953125
57.72,90,207420,207540,0.001,-44.90037954999999,447.41034145355223,2535,0.57,2298,135.37063446044922
58.1,89,207520,207640,0.001,-44.89890483999999,479.01341285705564,2536,0.56,2328,136.32779235839843
58.66,88,207600,207702,0.001,-45.13194591999999,346.5854907989502,2537,0.56,2354,136.42721557617188
59.43,87,207700,207802,0.001,-44.677429879999984,387.9868881225586,2538,0.55,2376,135.90687255859376
59.43,86,207800,207902,0.001,-44.65640775999999,615.9407175064086,2539,0.55,2410,134.7067123413086
58.48,86,,207907,,-43.86750138999999,,2540,0.56,2412,
58.15,85,207860,207974,0.001,-43.14549159999999,618.1769697189332,2541,0.57,2430,135.54703063964843
59.08,84,207960,208074,0.001,-43.75773854,412.89416427612304,2542,0.56,2457,137.1029067993164
58.84,83,208040,208150,0.001,-43.59036798,663.6300603866578,2543,0.57,2478,135.99295349121093
58.78,83,,208156,,-43.5672543,,2544,0.57,2480,
59.73,82,208140,208256,0.001,-44.4444659,360.1255279541016,2545,0.56,2514,136.54402770996094
58.97,82,208160,208277,0.001,-44.30638691999999,468.5211814880371,2546,0.56,2522,136.63065490722656
58.81,82,208180,208299,0.001,-44.25766629999999,410.23602333068845,2547,0.56,2534,136.6303512573242
58.22,81,208220,208340,0.001,-43.18962302999999,612.1764678955078,2548,0.57,2546,135.064501953125
58.03,81,208260,208366,0.001,-43.19088646,493.8504165649414,2549,0.57,2556,136.4471176147461
57.84,81,208280,208388,0.001,-43.12539914,504.33686504364016,2550,0.57,2562,137.47384643554688
57.06,80,208300,208410,0.001,-42.09804031000001,525.0057750701905,2551,0.58,2573,136.65267944335938
57.28,80,208340,208441,0.001,-42.41560026,487.1671010971069,2552,0.58,2583,136.7583450317383
57.42,80,208360,208465,0.001,-42.420558,524.6932188034058,2553,0.58,2589,135.65580291748046
57.49,80,208380,208486,0.001,-42.42775099000001,426.5563093185425,2554,0.58,2596,135.2079849243164
57.49,79,208480,208586,0.001,-42.377674199999994,431.03872632980347,2555,0.58,2625,137.42545013427736
57.49,78,208580,208686,0.001,-42.67642455999999,530.2873384475708,2556,0.58,2650,135.4796127319336
56.83,78,208600,208704,0.001,-40.96332153,568.1415971755981,2557,0.58,2668,135.4514602661133
56.83,77,208700,208804,0.001,-41.0483336,266.53859281539917,2558,0.58,2691,135.94143371582032
