time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,train/n_updates,train/loss,train/clip_range,train/explained_variance,train/approx_kl,train/std,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/learning_rate
1532,-554.77776151,305400,199,100.0,54,15260,2476.94482421875,0.2,0.012285292148590088,0.07376726,0.8700555562973022,-7.67558012008667,0.016658166638808324,4955.4650390625,0.5399999976158142,0.0003
1555,-554.59561584,305500,196,100.0,55,15265,2409.128662109375,0.2,-0.01667964458465576,0.55502313,0.8702747225761414,-7.677012825012207,0.04196078124296036,4838.116796875,0.6119999885559082,0.0003
1579,-554.68928608,305600,193,100.0,56,15270,2597.333251953125,0.2,-0.047471046447753906,0.085976616,0.8703315258026123,-7.678312206268311,-0.003290330040908884,5259.63173828125,0.35399999618530276,0.0003
1603,-554.07907955,305700,190,100.0,57,15275,2509.171875,0.2,-0.016956448554992676,0.021239739,0.8703762888908386,-7.67856616973877,-0.0038506907381815835,5044.0109375,0.19399999566376208,0.0003
1625,-553.86043766,305800,188,100.0,58,15280,2632.96875,0.2,0.002964019775390625,0.24975674,0.8704091906547546,-7.678866672515869,-0.00396164753328776,5283.53095703125,0.5519999861717224,0.0003
1645,-553.4181087599999,305900,185,100.0,59,15285,2662.53564453125,0.2,0.003967463970184326,0.015349612,0.8702609539031982,-7.67867956161499,-0.016504934869590215,5323.5201171875,0.28799999356269834,0.0003
1667,-553.39536944,306000,183,100.0,60,15290,2394.496826171875,0.2,0.013090133666992188,0.022520129,0.8703103065490723,-7.678002452850341,0.01111294685251778,4798.160546875,0.5579999804496765,0.0003
1695,-553.4259972899999,306100,180,100.0,61,15295,2545.921142578125,0.2,0.008085489273071289,0.26733583,0.8702632784843445,-7.678023433685302,0.08601233160516131,5092.98759765625,0.6119999766349793,0.0003
1713,-553.4371322399999,306200,178,100.0,62,15300,2509.78515625,0.2,-0.04746198654174805,1.6260289,0.8703341484069824,-7.678058242797851,0.18114962118852418,5025.94150390625,0.7099999785423279,0.0003
1733,-553.47293208,306300,176,100.0,63,15305,2661.737548828125,0.2,0.012605071067810059,0.07128924,0.8704015612602234,-7.678737831115723,0.013630660045600962,5323.47275390625,0.44399999380111693,0.0003
1755,-553.5648678199999,306400,174,100.0,64,15310,2677.785888671875,0.2,0.036039650440216064,0.09859158,0.8704430460929871,-7.679057788848877,-0.00148017626197543,5367.93486328125,0.4479999840259552,0.0003
1774,-553.3676434099999,306500,172,100.0,65,15315,2799.544189453125,0.2,0.004050076007843018,0.42313904,0.8703595995903015,-7.679123878479004,0.04552572867833078,5597.70361328125,0.6279999732971191,0.0003
