rollout/ep_rew_mean,train/n_updates,time/fps,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,time/episodes,train/learning_rate,rollout/success rate,train/actor_loss,time/total timesteps
-29.18433569,,110,2806,43.75,,4595,,0.7,,309696
-29.544858459999997,309680,109,2834,44.63,434.0823459625244,4596,0.001,0.69,122.31324615478516,309796
-29.550985150000006,309700,109,2837,44.64,365.3975694656372,4597,0.001,0.69,124.59234008789062,309805
-29.545742620000002,,108,2845,44.62,,4598,,0.69,,309810
-30.245815670000002,309800,108,2868,45.43,568.5036823272706,4599,0.001,0.68,120.79142379760742,309910
-30.263693550000003,309820,107,2879,45.55,434.71495113372805,4600,0.001,0.68,121.85990600585937,309928
-30.933184730000004,309920,106,2899,45.55,378.2666389465332,4601,0.001,0.68,123.38425369262696,310028
-30.877056010000004,,106,2903,45.33,,4602,,0.68,,310036
-30.158328730000004,309940,106,2906,44.44,528.6447502136231,4603,0.001,0.69,122.60372009277344,310047
-29.44622271,,106,2913,43.47,,4604,,0.7,,310050
-29.89506767,310040,105,2941,44.32,549.8961751937866,4605,0.001,0.69,121.1135482788086,310150
-30.14314503,310140,104,2967,45.14,541.9598651885987,4606,0.001,0.68,120.75014572143554,310250
-30.54068152,310240,103,2997,46.05,510.8548610687256,4607,0.001,0.67,120.5353759765625,310350
-30.75075402,310340,103,3014,46.99,521.0136095046997,4608,0.001,0.66,120.77113494873046,310450
-29.808224140000004,,102,3016,46.05,,4609,,0.67,,310456
-29.3228544,310380,102,3022,45.3,206.42948989868165,4610,0.001,0.68,121.95989685058593,310481
-29.084253479999997,,102,3035,44.78,,4611,,0.68,,310490
-30.96429421,310460,101,3055,45.65,427.37465991973875,4612,0.001,0.68,121.91059265136718,310580
-31.2897651,310560,100,3081,46.61,452.6146556854248,4613,0.001,0.67,121.2118408203125,310680
-30.264348019999996,310580,100,3083,45.67,426.99206295013425,4614,0.001,0.68,122.94706649780274,310686
-30.000726159999996,310680,100,3101,45.67,484.95780849456787,4615,0.001,0.68,123.49529876708985,310786
-30.81106652,310780,99,3124,46.36,336.89827861785886,4616,0.001,0.67,122.94976272583008,310886
-31.880607799999996,310880,98,3157,47.31,420.4122671127319,4617,0.001,0.66,121.10976028442383,310986
-31.920519439999993,,98,3161,47.29,,4618,,0.66,,310996
-31.92810651,310980,97,3187,47.87,443.49679164886476,4619,0.001,0.65,122.33005294799804,311096
-32.03258158999999,311060,96,3208,48.23,393.6671531677246,4620,0.001,0.65,121.98323822021484,311173
-32.04799790999999,311080,96,3213,48.27,415.40135860443115,4621,0.001,0.65,121.3504508972168,311189
-31.240049989999992,311120,96,3221,47.61,504.27829055786134,4622,0.001,0.66,121.17095031738282,311223
