time/time_elapsed,rollout/ep_rew_mean,train/critic_loss,train/actor_loss,time/episodes,rollout/ep_len_mean,train/learning_rate,train/n_updates,time/fps,time/total timesteps,rollout/success rate
5483,-83.99793957999998,578.0097940444946,158.4434066772461,1312,85.55,0.001,117960,21,118066,0.24
5511,-83.63634523,472.39927940368653,159.47327270507813,1313,85.55,0.001,118060,21,118166,0.24
5541,-83.54206020999999,545.1130083084106,159.00427703857423,1314,85.55,0.001,118160,21,118266,0.24
5563,-84.98340273,749.1603513717652,156.87987670898437,1315,85.55,0.001,118260,21,118366,0.24
5583,-85.53821683,500.53666534423826,157.82267303466796,1316,86.34,0.001,118360,21,118466,0.23
5591,-83.07512868999999,665.7903705596924,156.56252746582032,1317,85.63,0.001,118380,21,118495,0.24
5629,-82.88334143,532.6543420791626,156.11532440185547,1318,85.63,0.001,118480,21,118595,0.24
5648,-83.34787511999998,713.3099521636963,156.47413024902343,1319,85.81,0.001,118580,21,118695,0.23
5674,-82.67007663999999,563.2349098205566,156.41724395751953,1320,85.81,0.001,118680,20,118795,0.23
5681,-82.27664422,458.10696773529054,157.23397521972657,1321,85.0,0.001,118700,20,118814,0.24
5706,-82.94847277000001,524.7957565307618,157.2717056274414,1322,85.15,0.001,118800,20,118914,0.23
5728,-82.11098910000001,808.7886405944824,157.81381072998047,1323,85.15,0.001,118900,20,119014,0.23
5750,-82.23051312,954.9325351715088,158.27902526855468,1324,85.15,0.001,119000,20,119114,0.23
5766,-81.76470758999999,630.2633327484131,158.36064758300782,1325,84.71,0.001,119060,20,119170,0.24
5784,-85.71731797999999,482.6829605102539,157.22934265136718,1326,84.71,0.001,119160,20,119270,0.24
5812,-85.42155499999998,456.79973278045657,158.0066360473633,1327,84.71,0.001,119260,20,119370,0.24
5836,-85.90377547999998,561.2625339508056,158.00333709716796,1328,85.39,0.001,119360,20,119470,0.23
5867,-86.54689288999998,514.8981163024903,158.3130645751953,1329,86.34,0.001,119460,20,119570,0.22
5901,-85.12270712,566.0317375183106,158.6177230834961,1330,86.34,0.001,119560,20,119670,0.22
5927,-83.94664176999999,623.4689487457275,159.00722961425782,1331,86.34,0.001,119660,20,119770,0.22
5972,-84.57348774,791.1615417480468,156.29852294921875,1332,86.34,0.001,119760,20,119870,0.22
6008,-84.26265450000001,826.3877616882324,157.0697219848633,1333,86.34,0.001,119860,19,119970,0.22
6032,-84.16911508000001,1037.7198249816895,156.72122802734376,1334,86.34,0.001,119960,19,120070,0.22
6059,-84.48722373000001,909.4069555282592,159.42924957275392,1335,86.34,0.001,120060,19,120170,0.22
6083,-84.4014641,538.2259630203247,158.15199279785156,1336,86.34,0.001,120160,19,120270,0.22
6108,-83.35230451999998,501.80089569091797,158.6861114501953,1337,86.67,0.001,120260,19,120370,0.21
6132,-82.80243458,462.77587509155273,158.31237030029297,1338,86.67,0.001,120360,19,120470,0.21
