time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/critic_loss,rollout/success rate,train/n_updates,train/actor_loss,rollout/ep_len_mean,time/fps,time/total timesteps,train/learning_rate
27198,212,-117102.05949438002,10525.566883544921,0.05,1052200,2377.5621923828126,4941.7,38,1052390,0.001
27324,213,-116684.08049708001,13949.643403320313,0.05,1057200,2350.4721923828124,4941.7,38,1057390,0.001
27451,214,-116135.16421355002,5233.92703491211,0.05,1062200,2379.7725244140624,4941.7,38,1062390,0.001
27578,215,-116194.38471315002,5642.955197753906,0.05,1067200,2355.05751953125,4941.7,38,1067390,0.001
27704,216,-115447.78744346999,5338.289580078125,0.05,1072200,2365.575810546875,4941.7,38,1072390,0.001
27831,217,-115402.03565921001,11045.267482910156,0.05,1077200,2381.5792724609373,4941.7,38,1077390,0.001
27932,218,-115314.12752313998,13024.354184570313,0.06,1081200,2356.4433203125,4931.79,38,1081399,0.001
28058,219,-116256.54512889,13615.753039550782,0.06,1086200,2352.043251953125,4931.79,38,1086399,0.001
28184,220,-115682.11884028,12744.240283203126,0.06,1091200,2380.694951171875,4931.79,38,1091399,0.001
28311,221,-116043.39104251,10340.217590332031,0.06,1096200,2353.2610888671875,4931.79,38,1096399,0.001
28437,222,-115782.80481021998,13505.588068847655,0.06,1101200,2358.054736328125,4931.79,38,1101399,0.001
28563,223,-114944.42003189,5275.002180175781,0.06,1106200,2376.0594091796875,4931.79,38,1106399,0.001
28689,224,-113989.29499368997,11656.092553710938,0.06,1111200,2380.7181494140623,4931.79,38,1111399,0.001
28815,225,-113628.26394779999,9002.305831298829,0.06,1116200,2359.59,4931.79,38,1116399,0.001
28942,226,-113596.54161275997,11403.639354248047,0.06,1121200,2364.3396826171875,4931.79,38,1121399,0.001
29069,227,-115510.11410889,19894.272497558595,0.06,1126200,2386.6243408203127,4931.79,38,1126399,0.001
29196,228,-115161.75636522999,13335.650444335937,0.06,1131200,2355.9565380859376,4931.79,38,1131399,0.001
29322,229,-114703.44152295002,13811.175222167969,0.06,1136200,2399.1331396484375,4931.79,38,1136399,0.001
29448,230,-113656.66779567,5575.514125976562,0.06,1141200,2396.592578125,4931.79,38,1141399,0.001
29575,231,-112870.1845813,7174.588229980469,0.06,1146200,2373.0740234375,4931.79,38,1146399,0.001
29702,232,-112807.83048347,11212.518481445313,0.06,1151200,2326.7760498046873,4931.79,38,1151399,0.001
29827,233,-112267.36905435,17281.679744873047,0.06,1156200,2394.4322607421873,4931.79,38,1156399,0.001
29954,234,-111889.20431359,10598.530461425782,0.06,1161200,2327.5270947265626,4931.79,38,1161399,0.001
30079,235,-108601.08159253,8539.122475585937,0.06,1166200,2355.9292626953124,4931.79,38,1166399,0.001
30206,236,-108149.78849689002,16122.18515625,0.06,1171200,2329.2124853515625,4931.79,38,1171399,0.001
30332,237,-108082.90949814001,22819.722438964844,0.06,1176200,2324.50392578125,4931.79,38,1176399,0.001
