train/actor_loss,rollout/ep_len_mean,rollout/success rate,time/fps,train/critic_loss,train/n_updates,train/learning_rate,time/episodes,rollout/ep_rew_mean,time/total timesteps,time/time_elapsed
192.6710662841797,40.09,0.68,148,1200.81441116333,409720,0.001,6845,-39.64825295000001,409822,2761
,40.0,0.68,148,,,,6846,-39.610225129999996,409827,2763
189.34005737304688,40.94,0.67,147,1498.3649703979493,409820,0.001,6847,-40.424072530000004,409927,2784
190.24271545410156,40.14,0.68,146,1068.0304878234863,409840,0.001,6848,-39.847315009999996,409947,2791
,39.2,0.69,146,,,,6849,-39.4346813,409953,2794
188.55650482177734,39.26,0.69,146,1820.2407104492188,409860,0.001,6850,-39.502705760000005,409969,2806
191.7663345336914,39.26,0.69,143,1262.686515045166,409960,0.001,6851,-40.461089140000006,410069,2850
194.07832794189454,40.17,0.68,142,1113.2856986999511,410060,0.001,6852,-40.97529482000001,410169,2881
192.17764434814453,40.62,0.68,141,1624.0626106262207,410100,0.001,6853,-41.84130626,410218,2908
190.94129486083983,41.51,0.67,139,1350.4273200988769,410200,0.001,6854,-44.93053843,410318,2937
188.43451690673828,41.46,0.67,139,1643.0127296447754,410220,0.001,6855,-44.74713344999999,410324,2940
192.39667663574218,41.46,0.67,138,1501.3175254821776,410320,0.001,6856,-48.09879156,410424,2969
,41.42,0.67,138,,,,6857,-48.08683985,410429,2971
190.61272583007812,42.37,0.66,137,1707.9431785583497,410420,0.001,6858,-48.76873512,410529,2989
193.01513061523437,41.77,0.66,136,1205.5664993286132,410440,0.001,6859,-47.87014396000001,410541,3003
192.8537124633789,41.77,0.66,135,1566.273110961914,410540,0.001,6860,-47.71484350000001,410641,3028
,40.81,0.67,135,,,,6861,-47.15452179000001,410645,3036
,40.74,0.67,135,,,,6862,-47.40734726000001,410655,3039
,40.71,0.67,135,,,,6863,-47.401874080000006,410660,3041
191.85751190185547,41.57,0.66,133,1220.8804931640625,410640,0.001,6864,-48.291671410000006,410760,3069
192.4564987182617,41.78,0.66,133,1251.2830154418946,410680,0.001,6865,-48.41194596000001,410789,3081
