time/total timesteps,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,rollout/success rate,time/episodes,train/n_updates,time/time_elapsed,train/critic_loss,train/actor_loss
613493,0.001,48.09,-54.28311059000001,142,0.61,10802,613380,4293,4192.304675292969,321.94769287109375
613505,0.001,47.98,-53.91374214,142,0.61,10803,613400,4297,4382.475155639649,309.3751953125
613511,,47.04,-48.77760233,142,0.62,10804,,4300,,
613611,0.001,47.04,-48.80635442,141,0.62,10805,613500,4332,5278.966955566406,302.98949279785154
613613,,47.03,-48.80406934,141,0.62,10806,,4333,,
613713,0.001,47.03,-50.41950807999999,140,0.62,10807,613600,4361,4105.0113525390625,313.79970703125
613718,,46.08,-45.03089319,140,0.63,10808,,4374,,
613741,0.001,46.23,-45.133699879999995,140,0.63,10809,613640,4382,5688.587783813477,305.2647003173828
613841,0.001,46.23,-44.81973183000001,139,0.63,10810,613740,4403,4748.088580322265,307.1656005859375
613851,,45.33,-43.858221660000005,139,0.64,10811,,4409,,
613951,0.001,45.33,-43.96326819000001,138,0.64,10812,613840,4439,5017.797891235352,312.6409393310547
613973,0.001,45.39,-43.86407344,138,0.64,10813,613860,4444,5519.660717773438,308.43946228027346
614040,0.001,45.84,-45.57388455,137,0.64,10814,613920,4465,5838.417620849609,312.5044464111328
614049,0.001,44.93,-44.61777811000001,137,0.65,10815,613940,4468,6296.472320556641,307.4968627929687
614149,0.001,45.87,-45.747471010000005,136,0.64,10816,614040,4512,5766.644067382813,311.7830291748047
614160,,44.98,-44.9738371,136,0.65,10817,,4515,,
614173,0.001,45.08,-45.26934155,135,0.65,10818,614060,4521,5515.655419921875,310.4935699462891
614180,,44.15,-44.612770440000006,135,0.66,10819,,4524,,
614280,0.001,44.15,-44.56131127999999,134,0.66,10820,614160,4559,4770.400874328613,314.1376434326172
614288,0.001,43.23,-44.34114304,134,0.67,10821,614180,4573,5009.048840332031,324.35654296875
614388,0.001,44.01,-44.76084801,133,0.66,10822,614280,4597,5170.288720703125,310.9720520019531
614414,0.001,44.24,-45.019445649999994,133,0.66,10823,614300,4606,4916.027659606933,312.8533416748047
614514,0.001,44.72,-44.91986862000001,132,0.65,10824,614400,4635,4870.288027954101,308.6792694091797
614614,0.001,44.72,-45.15433006,131,0.65,10825,614500,4663,5651.244281005859,316.4317321777344
614714,0.001,45.65,-45.45883772,131,0.64,10826,614600,4686,4506.657482910156,315.494287109375
614814,0.001,46.14,-45.77975288,130,0.63,10827,614700,4714,4075.010664367676,314.3889495849609
614830,0.001,46.24,-45.9723618,130,0.63,10828,614720,4725,4870.250543212891,313.80418090820314
614843,0.001,45.43,-42.06437613999999,130,0.63,10829,614740,4729,5660.893309020996,312.76157531738284
614851,,45.45,-41.91903294000001,129,0.63,10830,,4731,,
614854,,45.26,-41.878417930000005,129,0.63,10831,,4732,,
614908,0.001,44.8,-41.786624010000004,129,0.64,10832,614800,4766,5455.1929931640625,325.6890045166016
615008,0.001,44.8,-41.16285986999999,128,0.64,10833,614900,4800,4419.548986816406,315.67637634277344
615108,0.001,44.8,-42.54350027,127,0.64,10834,615000,4832,5910.708203125,310.6070587158203
615133,0.001,44.05,-42.55950341,126,0.65,10835,615020,4843,4591.979895019531,315.8843963623047
615145,0.001,44.13,-42.89530193,126,0.65,10836,615040,4847,4772.93110961914,307.8613677978516
615149,,44.1,-42.78624624,126,0.65,10837,,4850,,
615173,0.001,44.31,-42.929606240000005,126,0.65,10838,615060,4873,6727.858474731445,311.2324249267578
615181,0.001,43.62,-41.07967198,126,0.65,10839,615080,4876,6815.154385375977,308.1401123046875
615281,0.001,44.59,-41.97990718999999,125,0.64,10840,615180,4915,4733.43762512207,303.88861389160155
615381,0.001,45.44,-42.36949933,124,0.63,10841,615280,4941,4141.473968505859,305.3806854248047
615391,,45.44,-42.371853429999994,124,0.63,10842,,4946,,
615436,0.001,44.89,-41.02703146999999,124,0.64,10843,615320,4962,3993.237890625,311.1152404785156
615444,0.001,44.92,-41.050891889999995,123,0.64,10844,615340,4965,5403.525726318359,306.6294830322266
615453,,44.93,-41.04749930999999,123,0.64,10845,,4968,,
615553,0.001,45.78,-41.41001780999999,123,0.63,10846,615440,4997,4946.467929077148,310.12294006347656
615653,0.001,45.78,-42.523994280000004,122,0.63,10847,615540,5032,4282.722660827637,306.52747802734376
615753,0.001,45.78,-41.95624923999999,121,0.63,10848,615640,5055,4844.235009765625,309.2133331298828
615766,0.001,45.87,-41.98241501,121,0.63,10849,615660,5064,5964.798345947265,311.02304992675784
615866,0.001,45.87,-42.2139919,120,0.63,10850,615760,5090,5015.630978393555,305.3121398925781
615878,,45.93,-42.01624000000001,120,0.63,10851,,5095,,
615978,0.001,46.74,-42.20936974,120,0.62,10852,615860,5116,4379.8428932189945,307.3887573242188
615987,0.001,45.83,-37.371364660000005,120,0.63,10853,615880,5119,2824.5728103637693,315.69349670410156
615991,,44.87,-35.453579489999996,120,0.64,10854,,5127,,
616002,0.001,44.77,-35.673246719999995,120,0.64,10855,615900,5130,4466.886700439453,312.8456085205078
616022,0.001,43.97,-34.60006926,119,0.65,10856,615920,5137,4891.936059570313,312.8268615722656
616122,0.001,44.88,-35.09340084,119,0.64,10857,616020,5156,4502.9699035644535,304.52073669433594
616132,,43.98,-34.36029634999999,119,0.65,10858,,5160,,
616232,0.001,44.95,-34.98759506,118,0.64,10859,616120,5183,4080.171044921875,313.8385314941406
616243,0.001,44.93,-34.970129230000005,118,0.64,10860,616140,5187,3582.6910888671873,325.7395446777344
616343,0.001,44.93,-34.54750473,118,0.64,10861,616240,5212,5081.168041992188,312.8795501708984
616348,,43.98,-33.73749075,118,0.65,10862,,5214,,
616375,0.001,43.25,-33.26649581,117,0.66,10863,616260,5224,4066.0190826416015,303.94146728515625
616472,0.001,44.17,-33.38654513,117,0.66,10864,616360,5249,6905.768725585937,312.9025512695313
616572,0.001,45.0,-34.381233189999996,116,0.65,10865,616460,5275,5102.0556640625,309.4317993164062
616672,0.001,45.0,-34.24074898,116,0.65,10866,616560,5300,5294.28783569336,315.6604797363281
616772,0.001,45.96,-39.89838214,115,0.64,10867,616660,5345,5895.108605957032,306.6435089111328
616822,0.001,45.46,-40.00885922,115,0.65,10868,616720,5359,5127.814479064941,305.9201721191406
616922,0.001,45.46,-40.046328609999996,114,0.65,10869,616820,5399,5673.958627319336,310.0104675292969
616928,,45.43,-40.052011889999996,114,0.65,10870,,5402,,
617028,0.001,46.29,-45.419333049999985,113,0.64,10871,616920,5425,5962.21125793457,320.7490264892578
617030,,46.26,-45.41079736999999,113,0.64,10872,,5427,,
617130,0.001,46.26,-45.31056546,113,0.64,10873,617020,5452,6032.931863403321,308.9001159667969
617136,,46.29,-45.31665005,113,0.64,10874,,5454,,
617236,0.001,46.29,-45.272605299999995,112,0.64,10875,617120,5475,5219.060627746582,311.873193359375
617244,0.001,46.26,-45.52259729999999,112,0.64,10876,617140,5478,4921.4810241699215,304.2862121582031
617247,,45.29,-44.40916558999999,112,0.65,10877,,5485,,
617347,0.001,45.87,-44.34847342,111,0.64,10878,617240,5512,7454.764724731445,315.1964569091797
617386,0.001,46.2,-44.668172809999994,111,0.64,10879,617280,5523,4656.512031555176,310.57830810546875
617486,0.001,47.14,-45.23319624,111,0.63,10880,617380,5552,3902.6766571044923,318.6186828613281
617586,0.001,48.06,-45.681541079999995,110,0.62,10881,617480,5567,5306.053689575196,317.00694885253904
617686,0.001,48.97,-46.34910343000001,110,0.61,10882,617580,5595,3756.8669158935545,316.9566192626953
617687,,47.98,-45.75468807,110,0.62,10883,,5596,,
617712,0.001,47.81,-45.84980854,110,0.62,10884,617600,5609,3708.210531616211,309.3917602539062
617738,0.001,48.03,-47.08441761,109,0.62,10885,617620,5616,4482.825119018555,318.80296020507814
617838,0.001,48.99,-48.05815473999999,109,0.61,10886,617720,5638,5022.896420288086,315.6106201171875
617859,0.001,49.1,-47.9172052,109,0.61,10887,617740,5648,5937.424029541015,308.1861572265625
617959,0.001,50.04,-48.794077269999995,108,0.6,10888,617840,5678,4379.1189437866215,303.5727569580078
618059,0.001,50.98,-49.673359819999995,108,0.59,10889,617940,5700,6170.444567871094,315.9004638671875
618159,0.001,51.67,-49.85297610000001,107,0.58,10890,618040,5729,6481.38208618164,310.9921173095703
618259,0.001,51.67,-50.031040940000004,107,0.58,10891,618140,5758,4972.026220703125,317.4207458496094
618273,0.001,50.81,-49.56047853,107,0.59,10892,618160,5768,5833.0573654174805,313.5517974853516
618283,0.001,50.87,-49.574412890000005,107,0.59,10893,618180,5772,6093.754476928711,308.3870849609375
618287,,50.85,-49.715249189999994,107,0.59,10894,,5773,,
618387,0.001,51.81,-50.52010292999999,106,0.58,10895,618280,5801,4119.568685913086,313.7834533691406
618487,0.001,52.5,-50.72398827999999,106,0.57,10896,618380,5828,4064.414514160156,307.67368774414064
618490,,52.42,-50.654927509999986,106,0.57,10897,,5829,,
618503,0.001,52.5,-51.35378115999999,105,0.57,10898,618400,5839,4609.163519287109,310.5250549316406
618506,,52.27,-50.83646425,105,0.57,10899,,5842,,
618526,0.001,51.47,-50.79156428999999,105,0.58,10900,618420,5849,5198.325476074218,313.5494842529297
618626,0.001,51.47,-52.92919465,105,0.58,10901,618520,5876,4010.506187438965,307.81484069824216
618637,,51.44,-52.955227189999995,105,0.58,10902,,5882,,
618737,0.001,52.32,-53.505098739999994,104,0.57,10903,618620,5913,4691.902420043945,308.60729064941404
618757,0.001,52.46,-53.58073441,104,0.57,10904,618640,5921,3328.863754272461,312.4817810058594
618771,0.001,51.6,-52.854104129999996,104,0.58,10905,618660,5927,4728.191918945313,304.65277709960935
618774,,51.61,-52.85494236,104,0.58,10906,,5928,,
618874,0.001,51.61,-51.75904683999999,103,0.58,10907,618760,5959,5537.839947509766,314.69883728027344
618881,0.001,51.63,-51.85998370999999,103,0.58,10908,618780,5969,6784.135437011719,321.37193298339844
618981,0.001,52.4,-52.1738193,103,0.57,10909,618880,5996,6153.890234375,309.66004638671876
619081,0.001,52.4,-52.28665773999998,102,0.57,10910,618980,6025,5385.179315185547,318.7941925048828
619091,,52.4,-52.04003085999999,102,0.57,10911,,6029,,
619191,0.001,52.4,-54.291059719999986,102,0.57,10912,619080,6063,6145.967788696289,311.38939208984374
619291,0.001,53.18,-54.344979759999994,101,0.56,10913,619180,6086,5780.03717956543,314.784375
619391,0.001,53.51,-52.752338229999985,101,0.55,10914,619280,6114,2564.8034484863283,319.2289794921875
619491,0.001,54.42,-58.024337689999996,101,0.54,10915,619380,6132,5658.523175048828,310.992236328125
619496,,53.47,-56.89185034,100,0.55,10916,,6135,,
619596,0.001,54.36,-58.50856885,100,0.54,10917,619480,6180,4238.947624206543,312.79644775390625
619600,,54.27,-58.26525403000001,100,0.54,10918,,6182,,
619700,0.001,55.2,-58.773354760000004,99,0.53,10919,619580,6216,3242.9078002929687,315.4318481445313
619800,0.001,55.2,-59.15114018,99,0.53,10920,619680,6249,5386.6639953613285,306.2852294921875
619804,0.001,55.16,-58.83199447,99,0.53,10921,619700,6252,5748.964126586914,310.1024200439453
619809,,54.21,-58.09438493999999,99,0.54,10922,,6253,,
619909,0.001,54.95,-59.274692159999994,98,0.53,10923,619800,6289,6508.702500915528,309.5491485595703
619916,,54.02,-58.78177492,98,0.54,10924,,6293,,
620016,0.001,54.02,-58.890088209999995,97,0.54,10925,619900,6329,6291.129870605469,310.3834197998047
620033,0.001,53.19,-59.045123729999986,97,0.55,10926,619920,6334,4616.975048828125,308.4584991455078
620041,0.001,52.27,-58.3002961,97,0.56,10927,619940,6336,5044.48493347168,307.42747192382814
620046,,52.16,-57.85335965999999,97,0.56,10928,,6343,,
620146,0.001,53.03,-60.157781209999996,97,0.55,10929,620040,6375,3973.2654296875,310.1603485107422
620154,,53.03,-60.1696427,97,0.55,10930,,6378,,
620168,0.001,53.14,-60.864704280000005,97,0.55,10931,620060,6385,4002.3047485351562,312.46193237304686
620268,0.001,53.6,-61.20561695000001,96,0.54,10932,620160,6415,4361.267602539063,303.7004425048828
620324,0.001,53.16,-60.88549567000001,96,0.55,10933,620220,6434,5877.466947937011,311.17653198242186
620424,0.001,53.16,-59.44632473000001,95,0.55,10934,620320,6473,5342.822592163086,316.3941711425781
620432,,52.99,-58.981451800000016,95,0.55,10935,,6477,,
620532,0.001,53.87,-59.546649640000005,95,0.54,10936,620420,6510,4899.502059936523,310.05613708496094
620632,0.001,54.83,-60.25271570000001,94,0.53,10937,620520,6533,4736.701031494141,309.0252410888672
620638,,54.65,-60.270311910000004,94,0.53,10938,,6536,,
620642,0.001,54.61,-60.11098637,94,0.53,10939,620540,6538,4657.5957504272465,305.4685455322266
620653,,53.72,-59.23546662999999,94,0.54,10940,,6548,,
620658,,52.77,-58.71099322,94,0.55,10941,,6549,,
620705,0.001,53.14,-60.23153523,94,0.55,10942,620600,6572,4662.1585144042965,311.48927612304686
620717,,52.81,-59.90225576000001,94,0.55,10943,,6581,,
620817,0.001,53.73,-61.85314281000001,93,0.54,10944,620700,6631,6251.331918334961,299.86968994140625
620917,0.001,54.64,-62.95226133000002,93,0.53,10945,620800,6658,4337.340682983398,303.0854919433594
