train/critic_loss,time/time_elapsed,rollout/ep_len_mean,rollout/success rate,time/episodes,time/fps,time/total timesteps,train/actor_loss,train/learning_rate,rollout/ep_rew_mean,train/n_updates
32587.37403564453,43463,11600.35,0.42,1161,222,9691324,2186.720759277344,0.001,-282388.70789737,9691200
16927.80764160156,43722,11551.69,0.43,1162,221,9701458,2252.4246142578127,0.001,-251865.83684736,9701300
10836.831860351562,44104,11636.0,0.42,1163,220,9716458,2158.8552905273436,0.001,-252525.34262468998,9716300
8070.363828125,44488,11636.0,0.42,1164,218,9731458,2115.2786499023437,0.001,-252482.49096818,9731300
18355.570947265624,44713,11648.19,0.42,1165,217,9740275,2130.3857690429686,0.001,-252570.18201693002,9740100
16243.730964355469,44980,11688.65,0.42,1166,216,9750743,2123.3220825195312,0.001,-252692.80524455,9750600
6723.305212402343,45363,11807.43,0.41,1167,215,9765743,2059.13001953125,0.001,-254203.37337652,9765600
46629.49858154297,45747,11807.43,0.41,1168,213,9780743,2073.3748168945312,0.001,-253444.23287182,9780600
11055.271003417969,46115,11801.19,0.42,1169,212,9795119,2068.919013671875,0.001,-254237.28689378005,9795000
7045.451807861328,46498,11801.19,0.42,1170,210,9810119,2076.3352294921874,0.001,-254469.85670742003,9810000
6712.483548583984,46882,11801.19,0.42,1171,209,9825119,2071.628977050781,0.001,-254734.96311943003,9825000
9398.577580566407,47265,11888.9,0.41,1172,208,9840119,2029.412265625,0.001,-255480.33868748002,9840000
16138.017268066405,47574,11967.91,0.41,1173,207,9852217,2001.5374145507812,0.001,-257829.25702138004,9852100
25931.359291992187,47664,11853.6,0.42,1174,206,9855786,2012.0743090820313,0.001,-256376.26146064003,9855600
9336.807607421875,48048,11853.6,0.42,1175,205,9870786,2010.6799438476562,0.001,-256369.97787324002,9870600
11830.351640625,48431,11957.59,0.41,1176,204,9885786,1993.3954711914062,0.001,-254780.58721745,9885600
9628.759493408203,48814,11957.59,0.41,1177,202,9900786,1954.3897875976563,0.001,-254534.74495027,9900600
6248.679603271485,49196,11957.59,0.41,1178,201,9915786,1984.9526098632812,0.001,-245770.1112953,9915600
12204.853458251953,49331,11972.98,0.41,1179,201,9920954,1998.8829345703125,0.001,-246058.21706723998,9920800
13519.829132080078,49722,11972.98,0.41,1180,199,9935954,1971.2233520507812,0.001,-245513.08093484,9935800
14958.645755615235,49867,11878.07,0.42,1181,199,9941463,1964.6077856445313,0.001,-239896.82320049003,9941300
13455.438739013673,50260,12012.56,0.41,1182,198,9956463,1952.5717895507812,0.001,-241651.50403958,9956300
10441.641420898437,50566,11979.76,0.42,1183,197,9968183,1978.613486328125,0.001,-240742.6941597,9968000
7468.2924291992185,50839,11934.53,0.43,1184,196,9978660,1999.76734375,0.001,-242947.29623031,9978500
11376.374471435547,51230,11992.29,0.42,1185,195,9993660,1983.3669262695312,0.001,-243813.86681869,9993500
