rollout/ep_len_mean,rollout/ep_rew_mean,time/total timesteps,rollout/success rate,train/actor_loss,train/critic_loss,train/n_updates,time/fps,time/episodes,train/learning_rate,time/time_elapsed
7448.77,-170752.90911170997,3629174,0.47,2631.6640625,8652.533889160157,3629000,87,611,0.001,41522
7448.77,-169897.04750100998,3639174,0.47,2609.3666796875,6063.2335131835935,3639000,87,612,0.001,41778
7527.43,-170940.76308234996,3649174,0.46,2585.7429833984374,12220.560375976562,3649000,86,613,0.001,42034
7527.43,-171067.03632697,3659174,0.46,2585.805341796875,13227.363728027343,3659000,86,614,0.001,42292
7549.13,-171214.50029706,3669174,0.45,2543.2474951171876,9207.584975585938,3669000,86,615,0.001,42552
7549.13,-170053.21096942,3679174,0.45,2532.6756689453123,22738.460559082032,3679000,85,616,0.001,42813
7549.13,-169608.23942001,3689174,0.45,2489.941982421875,6802.400629882813,3689000,85,617,0.001,43066
7530.77,-169316.31248939,3697338,0.46,2519.7766552734374,18400.787487792968,3697200,85,618,0.001,43272
7517.84,-169782.50068362,3706045,0.47,2496.6460302734376,7271.960349121094,3705900,85,619,0.001,43491
7517.84,-168852.70817263998,3716045,0.47,2469.3866845703124,16362.07561767578,3715900,84,620,0.001,43743
7523.82,-168909.14092406002,3722316,0.47,2475.29212890625,7134.6064453125,3722200,84,621,0.001,43901
7556.1,-169625.19061742004,3732316,0.46,2489.327060546875,14467.111721191406,3732200,84,622,0.001,44152
7628.31,-170082.26135877,3742316,0.45,2458.1005078125,13439.739196777344,3742200,84,623,0.001,44405
7628.31,-168979.06911592,3752316,0.45,2477.69791015625,10569.216728515625,3752200,84,624,0.001,44656
7628.31,-169592.63481061,3762316,0.45,2492.4059228515625,14846.1834765625,3762200,83,625,0.001,44910
7717.81,-171010.76556569,3772316,0.44,2467.1727294921875,16143.25111328125,3772200,83,626,0.001,45162
7779.9,-172472.88081131998,3780197,0.44,2444.49421875,8862.381896972656,3780000,83,627,0.001,45361
7820.61,-172313.40105947998,3790197,0.43,2448.2161328125,9827.444509277344,3790000,83,628,0.001,45619
7887.42,-173019.50540479002,3800197,0.42,2436.2112255859374,10233.194858398438,3800000,82,629,0.001,45882
7887.42,-170654.91958001003,3810197,0.42,2388.8284912109375,8900.932192382812,3810000,82,630,0.001,46144
7887.42,-169882.4175161,3820197,0.42,2387.5853564453123,15658.944770507813,3820000,82,631,0.001,46406
7887.42,-169711.90598856003,3830197,0.42,2384.7748974609376,8246.350634765626,3830000,82,632,0.001,46664
7887.42,-169511.05088055998,3840197,0.42,2387.0524267578126,9196.62107421875,3840000,81,633,0.001,46916
7887.42,-168440.97705635,3850197,0.42,2364.9754296875,9951.368344726563,3850000,81,634,0.001,47168
7963.07,-169338.37047212,3860197,0.41,2325.129765625,9209.584011230469,3860000,81,635,0.001,47421
7963.07,-169001.08198739,3870197,0.41,2344.1929296875,9612.387932128906,3870000,81,636,0.001,47673
7963.07,-162414.43083066,3880197,0.41,2381.0466015625,14026.361181640625,3880000,80,637,0.001,47923
8030.38,-163529.81127261,3890197,0.4,2371.7639208984374,10887.810466308594,3890000,80,638,0.001,48175
7992.61,-162347.68868622,3896420,0.41,2363.07248046875,6585.215439453125,3896300,80,639,0.001,48331
7992.61,-162989.91610064002,3906420,0.41,2384.793251953125,10830.106381835938,3906300,80,640,0.001,48584
8029.34,-163068.65633044002,3914935,0.41,2356.3310498046876,9397.980939941406,3914800,80,641,0.001,48798
8029.34,-164300.04095361,3924935,0.41,2369.500009765625,9670.313828125,3924800,80,642,0.001,49050
8102.05,-165650.04711239,3934935,0.4,2362.558291015625,8970.187286376953,3934800,79,643,0.001,49302
8102.05,-165799.88265802,3944935,0.4,2342.0360546875,11488.4655859375,3944800,79,644,0.001,49554
8077.83,-165435.05845648,3952513,0.41,2345.9010302734373,11483.1448046875,3952400,79,645,0.001,49745
8017.94,-164716.35654905002,3956524,0.42,2362.12474609375,13426.041416015625,3956400,79,646,0.001,49846
8017.94,-163654.70987266998,3966524,0.42,2362.1533740234377,27542.66162597656,3966400,79,647,0.001,50098
8017.94,-163327.62738585,3976524,0.42,2411.5418359375,6128.987271728515,3976400,78,648,0.001,50350
8017.94,-163461.36524848,3986524,0.42,2366.0649560546876,8916.032307128906,3986400,78,649,0.001,50602
8063.36,-163540.63943288,3996524,0.41,2384.0878955078124,6848.577872314453,3996400,78,650,0.001,50854
