time/total timesteps,train/actor_loss,rollout/success rate,time/time_elapsed,time/episodes,train/critic_loss,train/n_updates,rollout/ep_rew_mean,train/learning_rate,rollout/ep_len_mean,time/fps
120000,129.0091812133789,0.0,4858,1200,297.7904447555542,119880,-129.5250339,0.001,100.0,24
120400,129.82155685424806,0.0,4949,1204,249.25644693374633,120280,-129.40383137000003,0.001,100.0,24
120800,128.81264877319336,0.0,5071,1208,270.8115182876587,120680,-130.06721861,0.001,100.0,23
121200,130.75269012451173,0.0,5181,1212,361.0492895126343,121080,-129.76300477,0.001,100.0,23
121600,129.69902572631835,0.0,5277,1216,264.80577754974365,121480,-129.3711856,0.001,100.0,23
122000,130.17455139160157,0.0,5392,1220,327.53390979766846,121880,-128.61839799999998,0.001,100.0,22
122400,131.21712799072264,0.0,5489,1224,239.16229858398438,122280,-128.80162925,0.001,100.0,22
122800,129.7506896972656,0.0,5621,1228,445.2266590118408,122680,-129.27815365,0.001,100.0,21
123200,129.83998489379883,0.0,5746,1232,345.69055366516113,123080,-129.79182374,0.001,100.0,21
123600,130.7215232849121,0.0,5849,1236,358.83748455047606,123480,-130.1817558,0.001,100.0,21
124000,130.65822067260743,0.0,5951,1240,410.8515350341797,123880,-130.36425833,0.001,100.0,20
124400,130.73339157104493,0.0,6047,1244,259.8443640708923,124280,-130.35015511,0.001,100.0,20
124800,132.21906585693358,0.0,6170,1248,322.23860092163085,124680,-128.4527422,0.001,100.0,20
125200,130.33032989501953,0.0,6251,1252,378.7352020263672,125080,-129.09913305,0.001,100.0,20
125600,131.8501190185547,0.0,6373,1256,311.3408980369568,125480,-129.66084042,0.001,100.0,19
126000,130.42606506347656,0.0,6455,1260,371.1508604049683,125880,-130.04947668,0.001,100.0,19
126400,131.5962692260742,0.0,6556,1264,407.8209796905518,126280,-128.26790547,0.001,100.0,19
126800,131.11715240478514,0.0,6674,1268,390.62467155456545,126680,-128.52604287,0.001,100.0,18
127200,131.02662887573243,0.0,6773,1272,438.65383529663086,127080,-126.49544261999999,0.001,100.0,18
127600,131.82725296020507,0.0,6875,1276,458.5019618988037,127480,-126.17903838000002,0.001,100.0,18
128000,130.61760406494142,0.0,6994,1280,488.37499504089357,127880,-125.45131516000001,0.001,100.0,18
128400,132.3866409301758,0.0,7093,1284,247.2196897506714,128280,-124.27121997000002,0.001,100.0,18
128800,133.0456329345703,0.0,7162,1288,272.5749743461609,128680,-125.58057913,0.001,100.0,17
129200,132.08477783203125,0.0,7252,1292,384.53630886077883,129080,-126.09601744000001,0.001,100.0,17
129600,132.52615509033203,0.0,7343,1296,361.8372207641602,129480,-125.44351186000002,0.001,100.0,17
130000,131.92327423095702,0.0,7451,1300,412.4568286895752,129880,-125.00745716,0.001,100.0,17
130400,132.33192443847656,0.0,7557,1304,284.7859521865845,130280,-123.82114050999999,0.001,100.0,17
130800,131.96300506591797,0.0,7664,1308,337.5958610534668,130680,-123.67780277,0.001,100.0,17
131200,132.58310241699218,0.0,7771,1312,412.01964302062987,131080,-124.05145967,0.001,100.0,16
131600,131.7231704711914,0.0,7853,1316,408.1930284500122,131480,-123.73973979,0.001,100.0,16
132000,133.49334564208985,0.0,7963,1320,319.8281757354736,131880,-124.27766270000001,0.001,100.0,16
132400,133.72633666992186,0.0,8060,1324,323.92449073791505,132280,-123.87162739000001,0.001,100.0,16
132800,133.86681671142577,0.0,8186,1328,450.8698266983032,132680,-122.91740787999998,0.001,100.0,16
133200,134.87093811035157,0.0,8261,1332,319.0535871505737,133080,-123.93729319,0.001,100.0,16
133600,133.9890380859375,0.0,8375,1336,274.600163269043,133480,-123.45707100999999,0.001,100.0,15
134000,133.0458984375,0.0,8461,1340,480.9811059951782,133880,-123.69333989,0.001,100.0,15
134400,134.66571044921875,0.0,8567,1344,472.00935020446775,134280,-123.62489464000001,0.001,100.0,15
134800,134.60531311035157,0.0,8682,1348,307.30587215423583,134680,-123.87618863,0.001,100.0,15
135200,135.69097747802735,0.0,8789,1352,366.3495727539063,135080,-123.37918422000003,0.001,100.0,15
135600,135.73330841064453,0.0,8870,1356,366.9251308441162,135480,-123.99530134000001,0.001,100.0,15
136000,134.84588470458985,0.0,8958,1360,237.92871055603027,135880,-123.85685742999998,0.001,100.0,15
136400,136.90041809082032,0.0,9078,1364,334.8712259292603,136280,-123.86793938,0.001,100.0,15
136800,135.76769561767577,0.0,9193,1368,292.0187467575073,136680,-123.14925434999999,0.001,100.0,14
137200,135.84676971435547,0.0,9271,1372,425.5770364761353,137080,-123.98734043999998,0.001,100.0,14
137600,136.84044799804687,0.0,9379,1376,488.7352053642273,137480,-123.48441614,0.001,100.0,14
138000,136.89935455322265,0.0,9475,1380,340.39117431640625,137880,-124.43186033,0.001,100.0,14
138400,135.97406158447265,0.0,9572,1384,429.91363487243655,138280,-125.34036549000002,0.001,100.0,14
138800,135.58998413085936,0.0,9702,1388,532.4274045944214,138680,-123.56257297,0.001,100.0,14
139200,136.27814331054688,0.0,9806,1392,438.6686182022095,139080,-123.19293090000001,0.001,100.0,14
139600,136.1151321411133,0.0,9900,1396,499.32393608093264,139480,-123.63624530000003,0.001,100.0,14
140000,137.5773162841797,0.0,9997,1400,508.8258005142212,139880,-124.40910287999999,0.001,100.0,14
140400,138.82368011474608,0.0,10080,1404,431.13959884643555,140280,-126.08332839999998,0.001,100.0,13
140800,138.36151123046875,0.0,10194,1408,228.55388660430907,140680,-125.55574472,0.001,100.0,13
141200,137.38005676269532,0.0,10312,1412,426.70027484893797,141080,-125.42439278,0.001,100.0,13
141600,139.0253921508789,0.0,10419,1416,403.245810508728,141480,-124.73706308000001,0.001,100.0,13
142000,138.7572280883789,0.0,10527,1420,262.72263088226316,141880,-125.15073575000001,0.001,100.0,13
142400,138.52093505859375,0.0,10636,1424,471.0775758743286,142280,-124.50145471000002,0.001,100.0,13
142800,138.4299545288086,0.0,10747,1428,348.88708877563477,142680,-126.02103687000003,0.001,100.0,13
143200,138.1052047729492,0.0,10839,1432,447.0350059509277,143080,-125.21212297,0.001,100.0,13
143600,137.7175537109375,0.0,10932,1436,451.4332160949707,143480,-125.57850301999999,0.001,100.0,13
144000,139.14300384521485,0.0,11034,1440,404.6759685516357,143880,-124.69831683000001,0.001,100.0,13
144400,139.52507781982422,0.0,11124,1444,347.79730625152587,144280,-125.57918108,0.001,100.0,12
144800,139.67992553710937,0.0,11241,1448,346.7501085281372,144680,-126.06993877999999,0.001,100.0,12
145200,139.6198760986328,0.0,11337,1452,434.3326204299927,145080,-125.97888762999999,0.001,100.0,12
145600,139.7085739135742,0.0,11453,1456,307.2103332519531,145480,-124.76595665999997,0.001,100.0,12
146000,139.39120635986328,0.0,11542,1460,371.6864891052246,145880,-124.45978939000003,0.001,100.0,12
146400,141.25055084228515,0.0,11698,1464,375.42664966583254,146280,-124.28992894999999,0.001,100.0,12
146800,139.98310241699218,0.0,11806,1468,407.8066961288452,146680,-124.44723082000002,0.001,100.0,12
147200,140.61900787353517,0.0,11920,1472,287.9360166549683,147080,-124.18923741999998,0.001,100.0,12
147600,141.13726806640625,0.0,12008,1476,378.7830348968506,147480,-124.53755962999999,0.001,100.0,12
148000,141.47791595458983,0.0,12096,1480,470.6920341491699,147880,-123.63360376,0.001,100.0,12
148400,140.21949157714843,0.0,12221,1484,358.4100061416626,148280,-122.48215629999999,0.001,100.0,12
148800,140.9802474975586,0.0,12330,1488,463.42364540100095,148680,-123.09074998000001,0.001,100.0,12
149200,139.83993377685547,0.0,12436,1492,441.93335552215575,149080,-121.56370799000003,0.001,100.0,11
149600,141.03559112548828,0.0,12547,1496,295.26285018920896,149480,-121.1448686,0.001,100.0,11
150000,140.6353530883789,0.0,12669,1500,448.91189975738524,149880,-119.56387446000001,0.001,100.0,11
150400,141.3920425415039,0.0,12761,1504,470.41133584976194,150280,-118.04862075999999,0.001,100.0,11
150800,141.09067077636718,0.0,12889,1508,431.2020383834839,150680,-118.3165321,0.001,100.0,11
151200,141.5073257446289,0.0,12981,1512,501.59544467926025,151080,-118.74344184000002,0.001,100.0,11
151600,142.90909118652343,0.0,13084,1516,412.23022480010985,151480,-119.51660559999999,0.001,100.0,11
152000,142.92777404785156,0.0,13168,1520,398.35970516204833,151880,-119.98893272000001,0.001,100.0,11
152400,142.8582290649414,0.0,13305,1524,387.9888442993164,152280,-119.76907308,0.001,100.0,11
152800,142.0811538696289,0.0,13405,1528,430.77209701538084,152680,-119.76078474,0.001,100.0,11
153200,140.55758666992188,0.0,13489,1532,528.9392808914184,153080,-119.96527535000001,0.001,100.0,11
153600,142.10906829833985,0.0,13577,1536,451.27453365325925,153480,-119.96183339000001,0.001,100.0,11
154000,142.93321533203124,0.0,13712,1540,606.5698129653931,153880,-120.06528713,0.001,100.0,11
154400,142.51925964355468,0.0,13811,1544,377.0531949996948,154280,-118.14869024,0.001,100.0,11
154800,143.36487274169923,0.0,13924,1548,344.854669380188,154680,-118.22273267,0.001,100.0,11
155200,143.25144805908204,0.0,14031,1552,451.1890300750732,155080,-118.12228996999998,0.001,100.0,11
155600,143.60165252685547,0.0,14132,1556,319.8926290512085,155480,-118.62913425999999,0.001,100.0,11
156000,143.21192321777343,0.0,14221,1560,378.36296977996824,155880,-119.11210415,0.001,100.0,10
156400,143.70314331054686,0.0,14342,1564,348.02446231842043,156280,-118.93394323000001,0.001,100.0,10
156800,144.11396484375,0.0,14457,1568,404.82087154388427,156680,-119.31317144,0.001,100.0,10
157200,144.38968353271486,0.0,14565,1572,445.4454517364502,157080,-119.58535364000001,0.001,100.0,10
157600,144.4669967651367,0.0,14659,1576,361.99274959564207,157480,-119.36373555000002,0.001,100.0,10
158000,144.67680816650392,0.0,14745,1580,399.6476216316223,157880,-120.13492289,0.001,100.0,10
158400,144.75472259521484,0.0,14854,1584,440.02297554016116,158280,-118.99337814,0.001,100.0,10
158800,144.8989028930664,0.0,14948,1588,603.7237522125245,158680,-119.06440151999999,0.001,100.0,10
159200,145.31190643310546,0.0,15047,1592,427.5745271682739,159080,-119.92469545,0.001,100.0,10
159600,145.03377685546874,0.0,15145,1596,386.6660599708557,159480,-119.84686205999998,0.001,100.0,10
160000,145.81180267333986,0.0,15230,1600,412.6834095954895,159880,-120.76387301000001,0.001,100.0,10
160400,145.68813934326172,0.0,15325,1604,347.7759704589844,160280,-121.34928400999999,0.001,100.0,10
160800,144.87364196777344,0.0,15425,1608,482.95563831329343,160680,-121.96989526000002,0.001,100.0,10
