time/total timesteps,train/n_updates,time/fps,time/episodes,rollout/ep_rew_mean,train/actor_loss,train/critic_loss,train/learning_rate,rollout/ep_len_mean,rollout/success rate,time/time_elapsed
685918,685800,66,118,-3616.598433879999,86.40951728820801,0.9488895042240619,0.001,4552.27,0.88,10263
696636,696500,66,119,-3712.5296546499994,88.64603904724122,1.9904778147488833,0.001,4628.56,0.88,10425
698818,698700,66,120,-3674.8124314499996,84.260029296875,0.2952238718420267,0.001,4500.38,0.89,10458
701246,701100,66,121,-3695.0598916999998,85.88235145568848,0.6168286473304033,0.001,4497.0,0.89,10494
704137,704000,66,122,-3707.4253570200003,84.7977066040039,1.7889304921030997,0.001,4496.58,0.89,10538
705833,705700,66,123,-3707.46511811,84.98879318237304,2.380016807280481,0.001,4437.75,0.89,10563
707668,707500,66,124,-3691.1959448300004,85.63752159118653,0.5936840283870697,0.001,4415.42,0.89,10591
708536,708400,66,125,-3624.6889815900004,86.71907257080078,1.3912919461727142,0.001,4274.1,0.9,10604
710787,710600,66,126,-3600.6125394700007,81.99252159118652,2.734352187216282,0.001,4146.61,0.91,10638
712409,712300,66,127,-3598.6504816300003,83.07280250549316,3.083807508572936,0.001,4144.44,0.91,10663
715547,715400,66,128,-3567.6103065500006,82.64153259277344,5.247560644932091,0.001,4137.65,0.91,10709
718560,718400,66,129,-3540.2732730000002,82.47870788574218,3.0573605658113956,0.001,4126.37,0.91,10755
721555,721400,66,130,-3547.1035869,79.93730522155762,1.7511423525959253,0.001,4144.47,0.91,10800
724090,723900,66,131,-3548.18916699,78.7143684387207,2.379557447358966,0.001,4155.92,0.91,10837
727462,727300,66,132,-3523.7180185100005,82.56436813354492,1.2397337348759174,0.001,4147.78,0.91,10888
732413,732300,66,133,-3533.8130440799996,79.47225357055665,0.4290195986628532,0.001,4174.3,0.91,10963
733782,733600,66,134,-3535.13628383,83.52651229858398,3.7545933273434637,0.001,4173.25,0.91,10984
736580,736400,66,135,-3535.9037781700004,81.35237869262696,1.0923131988942623,0.001,4186.4,0.91,11025
738829,738700,66,136,-3533.6706428700004,81.7640909576416,0.5560674403980375,0.001,4164.76,0.91,11058
740760,740600,66,137,-3513.8688746100006,80.91277534484863,0.40547212816774847,0.001,4034.07,0.92,11086
745016,744900,66,138,-3506.9445767400007,79.12724380493164,14.237039393782617,0.001,3926.63,0.93,11149
748014,747900,66,139,-3492.6169927100004,78.22334541320801,0.7687165358662605,0.001,3853.44,0.93,11192
750878,750700,66,140,-3118.48756107,79.77459411621093,0.846481309980154,0.001,3732.08,0.94,11235
753079,752900,66,141,-2912.85078621,78.65459533691406,0.3564764163270593,0.001,3604.09,0.95,11267
754689,754500,66,142,-2786.28123554,80.07988342285157,1.307829816043377,0.001,3506.86,0.95,11291
760733,760600,66,143,-2792.25186913,79.33298614501953,6.481695683151483,0.001,3513.25,0.95,11380
762673,762500,66,144,-2770.2964048999997,76.10021469116211,0.9938466307893395,0.001,3504.8,0.95,11408
765144,765000,66,145,-2792.1337508799998,77.77289489746094,0.26771185614168647,0.001,3517.62,0.95,11444
767322,767200,66,146,-2675.907680979999,79.28527297973633,0.5925368051230907,0.001,3389.4,0.96,11476
768378,768200,66,147,-2584.5499258,76.38013572692871,4.988089151233435,0.001,3285.01,0.96,11492
769973,769800,66,148,-2541.48457912,79.86880973815919,98.20941626701504,0.001,3250.93,0.96,11515
775787,775600,66,149,-2564.05562798,76.30139739990234,1.0132881857082248,0.001,3302.53,0.96,11600
777603,777500,66,150,-2563.23731082,77.60638740539551,2.529606283903122,0.001,3301.13,0.96,11627
780657,780500,66,151,-2549.09768107,77.29081756591796,7.21194802492857,0.001,3291.24,0.96,11672
783300,783100,66,152,-2544.08235547,75.54832221984863,0.5967269132658839,0.001,3277.48,0.96,11710
786409,786300,66,153,-2526.81837157,78.56888130187988,2.0386327660828827,0.001,3282.88,0.96,11756
