time/fps,rollout/ep_len_mean,train/critic_loss,train/actor_loss,rollout/success rate,train/learning_rate,train/n_updates,rollout/ep_rew_mean,time/total timesteps,time/time_elapsed,time/episodes
3,100.0,146.4884687423706,95.9554832458496,0.0,0.001,73480,-116.59953235,73600,20256,736
3,100.0,244.3583876609802,94.92605895996094,0.0,0.001,73880,-116.19991574000004,74000,20376,740
3,100.0,182.20259761810303,97.14782257080078,0.0,0.001,74280,-116.92297734,74400,20475,744
3,100.0,195.50460481643677,96.86934432983398,0.0,0.001,74680,-116.5221788,74800,20579,748
3,100.0,158.06291484832764,97.9976936340332,0.0,0.001,75080,-116.17331809,75200,20682,752
3,100.0,155.75180978775023,98.08646163940429,0.0,0.001,75480,-117.50030717999998,75600,20772,756
3,100.0,162.58846549987794,98.85616836547851,0.0,0.001,75880,-117.56283803999999,76000,20872,760
3,100.0,174.1184066772461,98.69384078979492,0.0,0.001,76280,-118.50033908999998,76400,20965,764
3,100.0,181.9538661956787,98.5281753540039,0.0,0.001,76680,-119.96783547999998,76800,21059,768
3,100.0,134.9970827102661,98.55481262207032,0.0,0.001,77080,-118.90465097999999,77200,21196,772
3,100.0,232.02585582733155,99.75568237304688,0.0,0.001,77480,-120.48280722999999,77600,21285,776
3,100.0,184.9470280647278,100.38581161499023,0.0,0.001,77880,-122.63305939999998,78000,21379,780
3,100.0,190.99163370132447,99.69004135131836,0.0,0.001,78280,-122.90828692,78400,21484,784
3,100.0,182.0408811569214,100.28088302612305,0.0,0.001,78680,-123.71845194,78800,21608,788
3,100.0,249.60158100128174,101.7045883178711,0.0,0.001,79080,-125.22829748999997,79200,21708,792
3,100.0,278.31302614212035,101.39898452758788,0.0,0.001,79480,-124.96901167999998,79600,21798,796
3,100.0,179.92122688293458,101.58572158813476,0.0,0.001,79880,-127.26241309,80000,21889,800
3,100.0,197.71749620437623,101.74918212890626,0.0,0.001,80280,-127.45051869000001,80400,21983,804
3,100.0,191.3931785583496,102.74512252807617,0.0,0.001,80680,-127.16461504,80800,22110,808
3,100.0,222.54816703796388,102.79178771972656,0.0,0.001,81080,-126.58273066,81200,22237,812
3,100.0,219.82129802703858,102.42243881225586,0.0,0.001,81480,-125.92296363999998,81600,22353,816
3,100.0,336.54461059570315,102.15252227783203,0.0,0.001,81880,-125.72502234,82000,22460,820
3,100.0,238.39140195846556,103.69715881347656,0.0,0.001,82280,-127.87936927000001,82400,22577,824
3,100.0,176.0042848587036,104.45101165771484,0.0,0.001,82680,-127.92283792,82800,22662,828
3,100.0,190.85621757507323,104.38741607666016,0.0,0.001,83080,-128.47782081000003,83200,22763,832
3,100.0,167.05061073303222,105.31899871826172,0.0,0.001,83480,-128.23075943,83600,22865,836
3,100.0,293.4183319091797,105.07579727172852,0.0,0.001,83880,-127.97785725999998,84000,22990,840
3,100.0,274.11704750061034,104.3746124267578,0.0,0.001,84280,-127.12688640999998,84400,23107,844
3,100.0,200.49197406768798,106.51036911010742,0.0,0.001,84680,-126.76912227000003,84800,23208,848
3,100.0,185.78897562026978,106.69173126220703,0.0,0.001,85080,-125.99945430999998,85200,23302,852
3,100.0,359.44331178665163,105.70525283813477,0.0,0.001,85480,-124.07643753999999,85600,23444,856
3,100.0,238.9603232383728,106.81661987304688,0.0,0.001,85880,-122.89503467,86000,23556,860
3,100.0,247.08272733688355,107.30175704956055,0.0,0.001,86280,-123.00411453000001,86400,23656,864
3,100.0,276.2174419403076,107.32935028076172,0.0,0.001,86680,-123.67707825,86800,23754,868
3,100.0,230.17364578247071,107.56933670043945,0.0,0.001,87080,-124.69444661,87200,23883,872
3,100.0,247.93797149658204,108.613232421875,0.0,0.001,87480,-123.49025151,87600,23986,876
3,100.0,148.5803723335266,108.57256088256835,0.0,0.001,87880,-123.14794959,88000,24072,880
3,100.0,258.431162071228,108.77532806396485,0.0,0.001,88280,-123.06147684999998,88400,24190,884
3,100.0,291.50264234542846,108.34615859985351,0.0,0.001,88680,-122.00466033000001,88800,24287,888
3,100.0,219.28906173706054,108.90578155517578,0.0,0.001,89080,-121.02138516000001,89200,24393,892
3,100.0,220.11573724746705,110.20477447509765,0.0,0.001,89480,-119.82799901,89600,24517,896
3,100.0,272.7472730636597,110.75301208496094,0.0,0.001,89880,-118.17143697,90000,24646,900
3,100.0,200.53925542831422,109.75155258178711,0.0,0.001,90280,-118.37828406,90400,24738,904
3,100.0,328.50852451324465,109.1523567199707,0.0,0.001,90680,-119.05517161000002,90800,24839,908
3,100.0,407.9792392730713,108.90061416625977,0.0,0.001,91080,-119.145491,91200,24958,912
3,100.0,226.4083360671997,109.92887878417969,0.0,0.001,91480,-118.84307413999998,91600,25067,916
3,100.0,187.88210954666138,111.91856842041015,0.0,0.001,91880,-118.69675994999997,92000,25190,920
3,100.0,252.42836570739746,110.65074310302734,0.0,0.001,92280,-118.92192150999998,92400,25274,924
3,100.0,177.77354679107665,110.87288513183594,0.0,0.001,92680,-118.32980513999999,92800,25397,928
3,100.0,255.46449279785156,111.54037704467774,0.0,0.001,93080,-117.86093416,93200,25483,932
3,100.0,284.9670087814331,111.9826416015625,0.0,0.001,93480,-117.85186562000001,93600,25583,936
3,100.0,244.80437479019164,112.3437599182129,0.0,0.001,93880,-117.98389813,94000,25696,940
3,100.0,291.23009300231934,111.949560546875,0.0,0.001,94280,-118.17981833,94400,25794,944
3,100.0,170.09021406173707,113.14992141723633,0.0,0.001,94680,-117.76533297,94800,25896,948
3,100.0,281.23669109344485,112.19544525146485,0.0,0.001,95080,-117.25099859999999,95200,26006,952
3,100.0,247.4997356414795,112.81110153198242,0.0,0.001,95480,-119.06055297000003,95600,26114,956
3,100.0,266.0416440963745,112.77734375,0.0,0.001,95880,-120.58932174000002,96000,26211,960
3,100.0,385.79276237487795,114.76878128051757,0.0,0.001,96280,-119.93218897999999,96400,26307,964
3,100.0,275.8263356208801,113.82149887084961,0.0,0.001,96680,-119.57002301000003,96800,26401,968
3,100.0,275.0148290634155,115.08734283447265,0.0,0.001,97080,-119.05628039000001,97200,26515,972
3,100.0,264.5143098831177,114.22786712646484,0.0,0.001,97480,-121.00643609999999,97600,26601,976
3,100.0,250.23174476623535,114.79018325805664,0.0,0.001,97880,-121.14769467,98000,26695,980
3,100.0,243.5638795852661,114.17905807495117,0.0,0.001,98280,-122.84753833999999,98400,26789,984
3,100.0,223.59636783599854,115.30812454223633,0.0,0.001,98680,-123.02945073000001,98800,26893,988
3,100.0,222.27040605545045,116.2059539794922,0.0,0.001,99080,-122.54376875,99200,26996,992
3,100.0,219.46165599823,115.68146209716797,0.0,0.001,99480,-124.27244472000001,99600,27075,996
3,100.0,351.54232692718506,115.8232551574707,0.0,0.001,99880,-123.87677272,100000,27194,1000
