time/episodes,time/time_elapsed,rollout/success rate,rollout/ep_len_mean,time/fps,time/total timesteps,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/critic_loss,train/actor_loss
76,2096,0.02631578947368421,98.27631578947368,3,7469,-23759.49311272368,7360,0.001,185355.80380859374,2446.8370849609373
77,2126,0.025974025974025976,98.2987012987013,3,7569,-23525.96704872727,7460,0.001,221939.9251953125,2508.443408203125
78,2146,0.02564102564102564,98.32051282051282,3,7669,-23312.301962461537,7560,0.001,125630.4826171875,2513.01728515625
79,2171,0.02531645569620253,98.34177215189874,3,7769,-23085.734749379746,7660,0.001,223289.0310546875,2485.659228515625
80,2193,0.025,98.3625,3,7869,-22933.5472043375,7760,0.001,118464.34345703125,2522.3681640625
81,2232,0.024691358024691357,98.38271604938272,3,7969,-22800.01257945679,7860,0.001,178800.18125,2549.1767333984376
82,2247,0.024390243902439025,98.40243902439025,3,8069,-22644.73145567073,7960,0.001,169342.48515625,2554.5625244140624
83,2271,0.024096385542168676,98.42168674698796,3,8169,-22491.47067855422,8060,0.001,180796.55078125,2623.440576171875
84,2315,0.023809523809523808,98.44047619047619,3,8269,-22296.39108617857,8160,0.001,201143.63076171876,2616.6104248046877
85,2335,0.023529411764705882,98.45882352941176,3,8369,-22102.156925564705,8260,0.001,214876.4119140625,2602.3377685546875
86,2382,0.023255813953488372,98.47674418604652,3,8469,-21969.759182244186,8360,0.001,137206.0236328125,2639.3887939453125
87,2428,0.022988505747126436,98.49425287356321,3,8569,-21811.192024183907,8460,0.001,125373.843359375,2658.7391357421875
88,2501,0.022727272727272728,98.51136363636364,3,8669,-21635.631882886362,8560,0.001,163737.45693359376,2650.8230712890627
89,2536,0.02247191011235955,98.52808988764045,3,8769,-21486.131425224718,8660,0.001,185102.728515625,2704.15283203125
90,2577,0.022222222222222223,98.54444444444445,3,8869,-21308.372596466666,8760,0.001,212565.3095703125,2687.634619140625
91,2601,0.02197802197802198,98.56043956043956,3,8969,-21174.258811175823,8860,0.001,117752.6119140625,2716.278515625
92,2624,0.021739130434782608,98.57608695652173,3,9069,-21044.53800897826,8960,0.001,236085.9505859375,2731.9476318359375
93,2645,0.021505376344086023,98.59139784946237,3,9169,-20917.055560387096,9060,0.001,183094.0966796875,2761.1183837890626
94,2666,0.031914893617021274,98.44680851063829,3,9254,-20741.2330808617,9140,0.001,168857.178125,2746.8169677734377
95,2727,0.031578947368421054,98.46315789473684,3,9354,-20578.658330905262,9240,0.001,171996.32294921874,2746.8788330078123
96,2778,0.03125,98.47916666666667,3,9454,-20448.036336802084,9340,0.001,209510.10703125,2795.5318603515625
97,2797,0.041237113402061855,97.55670103092784,3,9463,-20252.223344103095,9360,0.001,237705.4927734375,2809.568310546875
98,2807,0.05102040816326531,96.71428571428571,3,9478,-20049.736895255104,,,,
