train/actor_loss,rollout/success rate,time/total timesteps,train/critic_loss,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/episodes,time/fps,train/learning_rate
11589.15625,0.34,113443,3478050.5890625,5752,-4892.274069579999,113340,75.16,1346,19,0.001
,0.35,113449,,5775,-4848.31214665,,74.22,1347,19,
,0.36,113454,,5777,-4733.506546230001,,73.27,1348,19,
11658.7845703125,0.37,113474,1464902.46484375,5788,-4701.079171330001,113360,72.47,1349,19,0.001
11630.4419921875,0.37,113574,3455162.28359375,5811,-4699.528359600001,113460,72.47,1350,19,0.001
11558.52314453125,0.37,113674,3597494.61640625,5852,-4697.649643000001,113560,72.47,1351,19,0.001
11630.103515625,0.38,113693,3584415.4984375,5873,-4637.673011250001,113580,71.66,1352,19,0.001
11644.47431640625,0.38,113793,4183540.0421875,5892,-4638.42472325,113680,71.66,1353,19,0.001
11532.96181640625,0.39,113805,4205439.684375,5901,-4553.92730871,113700,70.78,1354,19,0.001
11498.621875,0.38,113905,5024812.678125,5928,-4591.40384979,113800,71.74,1355,19,0.001
11598.08408203125,0.38,114005,3319934.36796875,6063,-4648.89684901,113900,71.74,1356,18,0.001
11671.93095703125,0.37,114105,2521942.23515625,6110,-4682.42201501,114000,72.6,1357,18,0.001
11556.92734375,0.36,114205,4421411.49375,6139,-4776.68435095,114100,73.51,1358,18,0.001
11654.1357421875,0.36,114305,2427067.920703125,6163,-4809.4212352899995,114200,73.51,1359,18,0.001
,0.36,114308,,6170,-4803.9642981100005,,73.02,1360,18,
11616.3978515625,0.36,114408,2958291.45390625,6197,-4770.61153042,114300,73.02,1361,18,0.001
,0.37,114419,,6221,-4735.687581,,72.13,1362,18,
11654.875,0.37,114519,2506471.04296875,6246,-4757.69935636,114400,72.13,1363,18,0.001
11707.984375,0.37,114525,2305703.604296875,6264,-4754.60016257,114420,72.01,1364,18,0.001
11629.668359375,0.37,114625,3977581.29609375,6285,-4701.436722519999,114520,72.01,1365,18,0.001
11630.8728515625,0.37,114725,3992087.32890625,6306,-4640.55021825,114620,72.01,1366,18,0.001
11758.4275390625,0.37,114825,2631795.07109375,6351,-4594.28138317,114720,72.01,1367,18,0.001
11711.50341796875,0.37,114925,3173003.937890625,6427,-4674.1138539700005,114820,72.01,1368,17,0.001
11590.6916015625,0.37,115025,4235157.29296875,6477,-4665.31193369,114920,72.01,1369,17,0.001
11614.0990234375,0.37,115125,3525598.40078125,6509,-4685.49460876,115020,72.01,1370,17,0.001
11763.9380859375,0.37,115225,3322122.675,6535,-4665.506679409999,115120,72.01,1371,17,0.001
11729.26337890625,0.36,115325,3448279.08828125,6566,-4740.889495619999,115220,72.9,1372,17,0.001
11683.5072265625,0.37,115370,3798575.01171875,6580,-4695.264510689999,115260,72.35,1373,17,0.001
11714.6744140625,0.38,115424,3182338.665625,6593,-4694.413226649998,115320,71.89,1374,17,0.001
11695.479296875,0.39,115497,4198340.59609375,6610,-4666.9095268,115380,71.62,1375,17,0.001
11697.419140625,0.39,115550,3174546.421484375,6646,-4683.9235546499995,115440,71.97,1376,17,0.001
,0.39,115555,,6668,-4683.139522330001,,71.94,1377,17,
11705.22138671875,0.38,115655,3487913.813671875,6693,-4742.3615901699995,115540,72.74,1378,17,0.001
11682.20048828125,0.38,115755,3303714.23125,6712,-4749.9757133,115640,72.74,1379,17,0.001
11687.5689453125,0.38,115855,3563639.37109375,6737,-4723.36307749,115740,72.74,1380,17,0.001
11736.573828125,0.39,115868,2850178.609375,6751,-4667.985509,115760,71.87,1381,17,0.001
11676.107421875,0.39,115968,3699850.36796875,6831,-4668.43001026,115860,71.87,1382,16,0.001
11763.66142578125,0.39,116068,2334407.6546875,6894,-4658.38670444,115960,71.87,1383,16,0.001
,0.4,116069,,6905,-4580.20481544,,70.88,1384,16,
11725.47880859375,0.4,116169,4096415.73203125,6927,-4541.71483855,116060,70.88,1385,16,0.001
,0.4,116177,,6945,-4541.45732708,,70.9,1386,16,
11736.38134765625,0.41,116200,3606448.43359375,6977,-4526.68473212,116080,70.13,1387,16,0.001
11675.81533203125,0.41,116300,4213656.80078125,7013,-4515.99673741,116180,70.13,1388,16,0.001
11697.43251953125,0.41,116400,3756871.8171875,7077,-4562.51092294,116280,70.13,1389,16,0.001
11758.80556640625,0.42,116405,2452823.396875,7084,-4518.78073105,116300,69.18,1390,16,0.001
,0.43,116414,,7092,-4449.47780327,,68.27,1391,16,
11606.2333984375,0.44,116427,3695179.3859375,7117,-4415.28798236,116320,67.4,1392,16,0.001
11758.865625,0.44,116527,3082779.5203125,7165,-4413.6250435599995,116420,67.4,1393,16,0.001
,0.44,116536,,7168,-4411.38849892,,67.29,1394,16,
11739.29775390625,0.45,116542,2587209.0578125,7176,-4380.65660535,116440,66.35,1395,16,0.001
,0.45,116556,,7185,-4383.34559582,,66.35,1396,16,
11693.54541015625,0.44,116656,4032093.88515625,7206,-4151.642072550001,116540,66.93,1397,16,0.001
11708.47724609375,0.45,116664,3411738.5640625,7210,-4107.63384513,116560,66.01,1398,16,0.001
11731.06396484375,0.45,116764,4379252.26328125,7237,-4097.9578017799995,116660,66.01,1399,16,0.001
11815.8263671875,0.45,116864,3435702.97421875,7265,-4060.32963269,116760,66.01,1400,16,0.001
11732.2724609375,0.45,116921,4035913.73125,7321,-4052.5485122599994,116820,65.82,1401,15,0.001
,0.46,116931,,7324,-4020.25252223,,64.92,1402,15,
,0.46,116940,,7342,-4007.87540971,,64.55,1403,15,
11767.5783203125,0.45,117040,3091706.215625,7359,-4100.29082007,116920,65.11,1404,15,0.001
11787.4837890625,0.45,117140,2963076.606640625,7374,-4123.30220579,117020,65.11,1405,15,0.001
11905.957421875,0.45,117240,2260136.8359375,7403,-4084.7047304699995,117120,65.11,1406,15,0.001
11730.18916015625,0.44,117340,4128170.137109375,7445,-4169.915243959999,117220,66.02,1407,15,0.001
11797.19931640625,0.44,117440,3840983.44140625,7468,-4181.51571768,117320,66.02,1408,15,0.001
11677.281640625,0.44,117540,3817127.8125,7492,-4226.738423960001,117420,66.02,1409,15,0.001
11826.73251953125,0.44,117611,2639317.44296875,7522,-4248.44973488,117500,66.44,1410,15,0.001
11776.01083984375,0.43,117711,3695188.81171875,7558,-4272.64640905,117600,67.37,1411,15,0.001
11753.8412109375,0.43,117811,3888128.21875,7604,-4248.728174749999,117700,67.37,1412,15,0.001
11739.3087890625,0.43,117911,3280694.29921875,7654,-4300.779195059999,117800,67.37,1413,15,0.001
