time/episodes,time/total timesteps,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/actor_loss,train/n_updates,rollout/success rate,train/critic_loss
2976,228142,0.001,27,8191,52.75,-37.729883390000005,304.83693237304686,228040,0.65,2479.5189102172853
2980,228384,0.001,27,8253,52.75,-39.27857509000001,305.4758026123047,228280,0.65,2838.319789123535
2984,228624,0.001,27,8312,52.43,-40.05567917,305.19452514648435,228520,0.65,2809.553441619873
2988,228925,0.001,27,8381,52.25,-45.96860711,308.4257354736328,228820,0.66,2385.1003662109374
2992,229320,0.001,27,8482,54.2,-47.06095288,301.4392028808594,229200,0.64,3178.826728820801
2996,229542,0.001,26,8559,55.46,-48.30886907,307.0533416748047,229440,0.62,1826.6824234008789
3000,229618,0.001,26,8590,54.03,-44.22580391999999,307.7744903564453,229500,0.64,2389.0580253601074
3004,229923,0.001,26,8674,55.14,-48.477188850000005,306.8756500244141,229820,0.62,2774.520687866211
3008,230233,0.001,26,8755,56.67,-53.57880819,306.8401611328125,230120,0.6,2841.1709785461426
3012,230476,0.001,26,8819,57.11,-55.53124883,306.99851684570314,230360,0.59,2620.892375946045
3016,230577,0.001,26,8857,55.46,-52.97236514999999,306.1020233154297,230460,0.61,2783.134634399414
3020,230772,0.001,25,8930,56.05,-53.232311689999996,306.48064575195315,230660,0.61,2476.9920501708984
3024,230927,0.001,25,8983,54.82,-52.184318940000004,303.5813903808594,230820,0.62,2851.8987197875977
3028,231199,0.001,25,9057,55.28,-55.33798496999999,308.38710632324216,231080,0.62,1914.3276710510254
3032,231417,0.001,25,9107,56.01,-58.7297401,306.763720703125,231300,0.6,2650.201005554199
3036,231563,0.001,25,9151,54.17,-58.72578934,303.8692108154297,231460,0.61,1770.6091217041017
3040,231785,0.001,25,9215,53.08,-60.338625660000005,305.13242492675784,231680,0.62,3170.9995208740233
3044,231999,0.001,25,9277,52.62,-63.90065713999999,304.8671844482422,231880,0.62,2748.4030113220215
3048,232304,0.001,24,9359,53.44,-67.15954659,309.0065216064453,232200,0.62,2722.3481781005858
3052,232562,0.001,24,9444,54.23,-69.48744529,305.53492431640626,232460,0.61,2941.934264373779
3056,232782,0.001,24,9504,54.69,-73.99950494,308.2748504638672,232680,0.6,1914.204182434082
3060,233011,0.001,24,9566,55.0,-76.55958248,306.75690002441405,232900,0.59,2775.964465332031
3064,233315,0.001,24,9637,57.43,-84.88780368000002,306.1538970947266,233200,0.56,2494.05673828125
3068,233621,0.001,24,9713,58.9,-90.28755467,308.35768127441406,233520,0.54,2612.0577980041503
3072,233871,0.001,23,9782,59.44,-90.89994555999999,307.4588348388672,233760,0.53,2296.9630714416503
3076,234040,0.001,23,9834,58.98,-90.54740584,308.51194458007814,233920,0.54,1961.0179382324218
3080,234259,0.001,23,9891,58.75,-89.57394528,305.76149291992186,234140,0.55,2925.2571762084963
3084,234321,0.001,23,9919,56.97,-86.54964067,307.9744079589844,234220,0.57,2732.1518798828124
3088,234653,0.001,23,10021,57.28,-80.50737050999999,306.5346618652344,234540,0.56,2767.4761894226076
3092,234928,0.001,23,10093,56.08,-79.23690267,309.36147155761716,234820,0.57,2032.2459533691406
3096,235236,0.001,23,10188,56.94,-79.93605512,310.16941223144534,235120,0.57,3029.4423797607424
3100,235420,0.001,22,10248,58.02,-80.05930899,308.04478149414064,235300,0.57,2703.70938873291
3104,235722,0.001,22,10322,57.99,-81.47608301000001,309.2052856445313,235620,0.57,2428.4178466796875
3108,236041,0.001,22,10404,58.08,-82.86737556,307.7486877441406,235940,0.57,2276.4910690307615
3112,236335,0.001,22,10472,58.59,-88.23306244000001,309.2927215576172,236220,0.57,2338.6944213867187
3116,236612,0.001,22,10546,60.35,-91.83749931,310.1397277832031,236500,0.55,2627.0989158630373
3120,236796,0.001,22,10591,60.24,-91.31964383999997,308.83201599121094,236680,0.55,3202.6863220214846
3124,236883,0.001,22,10617,59.56,-91.01138914,309.26031494140625,236780,0.56,3002.1923095703123
3128,237030,0.001,22,10660,58.31,-87.82279770999999,308.02125549316406,236920,0.57,2544.9715377807615
3132,237283,0.001,22,10731,58.66,-86.04501517,309.5596221923828,237180,0.57,3158.4854400634767
3136,237460,0.001,21,10809,58.97,-85.83885663999999,308.23609619140626,237340,0.57,3385.150379180908
3140,237690,0.001,21,10870,59.05,-81.11097864,311.97792663574216,237580,0.57,2754.442761230469
3144,237844,0.001,21,10925,58.45,-76.68448470999999,308.1123016357422,237740,0.58,3231.4320877075197
3148,238063,0.001,21,10982,57.59,-72.96145566000001,310.8721099853516,237960,0.57,2122.6212356567385
3152,238310,0.001,21,11057,57.48,-71.44457018,310.2498443603516,238200,0.57,2738.310466003418
3156,238620,0.001,21,11124,58.38,-69.25206612999999,308.9117431640625,238500,0.56,2517.7124557495117
3160,238896,0.001,21,11196,58.85,-66.30296668,311.11168518066404,238780,0.56,2486.596011352539
3164,239116,0.001,21,11244,58.01,-59.58341634000001,309.83673706054685,239000,0.57,2220.8775840759276
3168,239485,0.001,21,11327,58.64,-57.95354950000001,310.49732360839846,239380,0.57,2250.5591735839844
3172,239622,0.001,21,11367,57.51,-58.56558746,309.783544921875,239520,0.58,2613.036720275879
3176,239786,0.001,21,11411,57.46,-57.968052580000005,311.853076171875,239680,0.58,2021.4163864135742
3180,240003,0.001,20,11486,57.44,-62.362427170000004,311.5903015136719,239900,0.57,2166.9826889038086
3184,240158,0.001,20,11538,58.37,-63.70827482000001,311.05980529785154,240040,0.56,2796.103631591797
3188,240290,0.001,20,11581,56.37,-64.64580142,312.4300201416016,240180,0.58,2283.1307876586916
3192,240426,0.001,20,11635,54.98,-62.72972669000001,312.12640686035155,240320,0.6,2416.4937828063967
3196,240699,0.001,20,11706,54.63,-62.03726925000001,309.4098297119141,240580,0.6,2730.5504486083983
3200,241013,0.001,20,11786,55.93,-63.46613138000001,311.7666320800781,240900,0.57,3021.164241027832
3204,241193,0.001,20,11845,54.71,-57.60842847000001,311.1310119628906,241080,0.59,2218.255172729492
3208,241397,0.001,20,11903,53.56,-51.12150067000002,308.5265808105469,241280,0.61,2721.459336090088
3212,241615,0.001,20,11963,52.8,-46.28599972000001,311.7428344726562,241500,0.61,2095.2232704162598
3216,241770,0.001,20,12010,51.58,-44.29537694999999,311.58258056640625,241660,0.62,2376.4034469604494
3220,241913,0.001,20,12052,51.17,-49.212383870000004,312.8633544921875,241800,0.62,2713.6145584106443
3224,242187,0.001,19,12124,53.04,-51.73484806,309.1927001953125,242080,0.6,2678.897782897949
3228,242445,0.001,19,12194,54.15,-52.240151589999996,310.4448272705078,242340,0.59,3060.9264747619627
3232,242708,0.001,19,12265,54.25,-55.40840692,312.0674743652344,242600,0.59,2088.946290588379
3236,242925,0.001,19,12335,54.65,-54.34523829,312.1857452392578,242820,0.58,2642.6868537902833
3240,243226,0.001,19,12407,55.36,-60.82621558999999,311.8374328613281,243120,0.58,2796.894260406494
3244,243535,0.001,19,12485,56.91,-72.48658569,315.2283111572266,243420,0.56,1216.4884269714355
3248,243887,0.001,19,12578,58.24,-76.46488459999999,311.9226013183594,243780,0.55,2456.269884490967
3252,244020,0.001,19,12611,57.1,-75.15203915000001,311.08994750976564,243900,0.56,2736.3414093017577
