train/critic_loss,time/fps,rollout/ep_len_mean,time/total timesteps,train/n_updates,train/actor_loss,rollout/ep_rew_mean,train/learning_rate,time/time_elapsed,time/episodes,rollout/success rate
465.30766372680665,30,100.0,229600,229480,141.06513214111328,-129.62023456999998,0.001,7511,2296,0.0
434.9390045166016,30,100.0,230000,229880,142.32228393554686,-128.59186304999997,0.001,7597,2300,0.0
486.908638381958,29,100.0,230400,230280,141.07936248779296,-128.09878493,0.001,7703,2304,0.0
388.78315725326536,29,100.0,230800,230680,141.10696868896486,-128.52626929000002,0.001,7788,2308,0.0
515.5418368339539,29,100.0,231200,231080,141.29546661376952,-128.75084655000003,0.001,7891,2312,0.0
498.2206069946289,28,100.0,231600,231480,141.47421264648438,-128.58227008,0.001,7995,2316,0.0
303.59557037353517,28,100.0,232000,231880,140.9973571777344,-127.57463489,0.001,8100,2320,0.0
577.8793014526367,28,100.0,232400,232280,140.45791473388672,-126.88656719,0.001,8193,2324,0.0
408.47091274261476,28,100.0,232800,232680,139.52444610595703,-126.1365835,0.001,8292,2328,0.0
528.2951875686646,27,100.0,233200,233080,140.54916687011718,-125.26041528,0.001,8418,2332,0.0
324.3256364822388,27,100.0,233600,233480,140.36661529541016,-125.64077169000002,0.001,8507,2336,0.0
311.1282609939575,27,100.0,234000,233880,140.8682876586914,-125.83891851,0.001,8608,2340,0.0
434.5470230102539,26,100.0,234400,234280,139.96829528808593,-125.3132913,0.001,8708,2344,0.0
367.9194437026978,26,100.0,234800,234680,140.3415954589844,-125.46050129000002,0.001,8814,2348,0.0
261.7437210083008,26,100.0,235200,235080,140.75876007080078,-124.96140358000001,0.001,8930,2352,0.0
282.46601524353025,26,100.0,235600,235480,140.48674774169922,-124.72230126000001,0.001,9012,2356,0.0
562.1122041702271,25,100.0,236000,235880,139.7832244873047,-125.63528423,0.001,9091,2360,0.0
430.3033519744873,25,100.0,236400,236280,139.77044677734375,-125.96331247,0.001,9199,2364,0.0
330.4038035392761,25,100.0,236800,236680,140.64065551757812,-127.02186186,0.001,9302,2368,0.0
501.11356220245364,25,100.0,237200,237080,139.68696136474608,-125.71546902999998,0.001,9409,2372,0.0
339.5226629257202,25,100.0,237600,237480,140.72467651367188,-125.58532130000002,0.001,9498,2376,0.0
248.25027294158934,24,100.0,238000,237880,141.48351593017577,-126.06177000999998,0.001,9608,2380,0.0
386.32220191955565,24,100.0,238400,238280,140.8021438598633,-124.97066664999997,0.001,9717,2384,0.0
